rank,words,phonetic,coca_speech,WB_speech
8801,commercially,,r, adv 
8802,minus,/ˈmaınəs/,i," adj 
 noun 
 prep "
8803,eyewitness,/ˈaıˈwıtnəs/,n, noun 
8804,number,/ˈnʌmbɚ/,v," noun 
 verb "
8805,decision-making,,j, noun 
8806,grievance,/ˈgriːvəns/,n, noun 
8807,pneumonia,"/nʊˈmoʊnjə, Brit njuˈməʊnjə/",n, noun 
8808,brutality,/bruˈtæləti/,n, noun 
8809,duct,/ˈdʌkt/,n, noun 
8810,three-quarters,,m, noun 
8811,thriller,/ˈθrılɚ/,n, noun 
8812,pulp,"/ˈpʌlp/
/ˈpʌlpi/",n," adj 
 noun 
 verb "
8813,stuffed,,j, adj 
8814,grown-up,/ˈgroʊnˌʌp/,n," adj 
 noun "
8815,woo,/ˈwuː/,v, verb 
8816,nostril,/ˈnɑːstrəl/,n, noun 
8817,helm,/ˈhɛlm/,n, noun 
8818,monarch,/ˈmɑːˌnɑɚk/,n, noun 
8819,seep,/ˈsiːp/,v, verb 
8820,eyelid,/ˈaıˌlıd/,n, noun 
8821,cradle,/ˈkreıdl̩/,n," noun 
 verb "
8822,paranoid,/ˈperəˌnoıd/,j," adj 
 noun "
8823,champion,/ˈʧæmpijən/,v," noun 
 verb "
8824,lending,,n,
8825,uniquely,,r, adv 
8826,curry,/ˈkɚri/,n," noun 
 verb "
8827,raise,/ˈreız/,n," noun 
 verb "
8828,pathogen,"/ˈpæθəʤən/
/ˌpæθəˈʤɛnık/",n," adj 
 noun "
8829,eruption,/ıˈrʌpʃən/,n, noun 
8830,stomp,/ˈstɑːmp/,v, verb 
8831,crook,/ˈkrʊk/,n," noun 
 verb "
8832,ranger,/ˈreınʤɚ/,n, noun 
8833,scalp,/ˈskælp/,n," noun 
 verb "
8834,cherish,/ˈʧerıʃ/,v," adj 
 verb "
8835,relish,/ˈrɛlıʃ/,v," noun 
 verb "
8836,thou,"/ˈðaʊ/
/ˈθaʊ/",p," noun 
 pronoun "
8837,spacious,/ˈspeıʃəs/,j," adj 
 adv 
 noun "
