rank,words,phonetic,coca_speech,WB_speech
11801,Californian,,n,
11802,birch,/ˈbɚʧ/,n, noun 
11803,manpower,/ˈmænˌpawɚ/,n, noun 
11804,disarmament,/dısˈɑɚməmənt/,n, noun 
11805,carnage,/ˈkɑɚnıʤ/,n, noun 
11806,microorganism,/ˌmaıkroʊˈoɚgəˌnızəm/,n, noun 
11807,stiffness,,n, noun 
11808,farm,/ˈfɑɚm/,v," noun 
 verb "
11809,calculator,/ˈkælkjəˌleıtɚ/,n, noun 
11810,lobe,"/ˈloʊb/
/ˈloʊbd/",n," adj 
 noun "
11811,damn,/ˈdæm/,r," adj 
 adv 
 interj 
 noun 
 verb "
11812,even,"/ˈiːvən/
/ˈiːvənnəs/",j," adj 
 adv 
 noun 
 verb "
11813,Georgian,/ˈʤoɚʤən/,j, adj 
11814,counterproductive,/ˈkaʊntɚprəˈdʌktıv/,j, adj 
11815,bulge,/ˈbʌlʤ/,n," adj 
 noun 
 verb "
11816,two-week,,j,
11817,antidote,/ˈæntıˌdoʊt/,n, noun 
11818,purge,/ˈpɚʤ/,v," noun 
 verb "
11819,legitimize,/lıˈʤıtəˌmaız/,v, verb 
11820,juncture,/ˈʤʌŋkʧɚ/,n, noun 
11821,antelope,/ˈæntıˌloʊp/,n, noun 
11822,ration,/ˈræʃən/,n," noun 
 verb "
11823,autobiographical,"/ˌɑːtəˌbajəˈgræfıkəl/
/ˌɑːtəˌbajəˈgræfık/",j, adj 
11824,commando,/kəˈmændoʊ/,n, noun 
11825,smallpox,/ˈsmɑːlˌpɑːks/,n, noun 
11826,sparkle,/ˈspɑɚkəl/,v," noun 
 verb "
11827,relativity,/ˌrɛləˈtıvəti/,n, noun 
11828,treatise,/ˈtriːtəs/,n, noun 
11829,saliva,"/səˈlaıvə/
/ˈsæləˌveri/",n," adj 
 noun "
11830,lunchtime,/ˈlʌnʧˌtaım/,n, noun 
11831,clockwise,/ˈklɑːkˌwaız/,r," adj 
 adv "
11832,labyrinth,"/ˈlæbəˌrınθ/
/ˌlæbəˈrınθən, Brit ˌlæbəˈrınˌθaın/",n," adj 
 noun "
11833,deteriorating,,j,
11834,troupe,/ˈtruːp/,n, noun 
11835,fancy,"/ˈfænsi/
/ˈfænsəli/",v," adj 
 adv 
 noun 
 verb "
11836,veterinarian,/ˌvɛtərəˈnerijən/,n, noun 
11837,headphone,,n,
11838,solo,/ˈsoʊloʊ/,r," adj 
 adv 
 noun 
 verb "
11839,LCD,/ˌɛlˌsiːˈdiː/,n, noun 
11840,vigilant,"/ˈvıʤələnt/
/ˈvıʤələns/",j," adj 
 adv 
 noun "
11841,reunification,/riˌjuːnəfəˈkeıʃən/,n, noun 
11842,sufferer,/ˈsʌfərɚ/,n, noun 
11843,contrasting,,j, adj 
11844,ingenious,/ınˈʤiːnjəs/,j," adj 
 adv "
11845,totalitarian,"/toʊˌtæləˈterijən/
/toʊˌtæləˈterijəˌnızəm/",j," adj 
 noun "
11846,nickname,/ˈnıkˌneım/,v," noun 
 verb "
11847,sushi,/ˈsuːʃi/,n, noun 
11848,contagious,/kənˈteıʤəs/,j," adj 
 adv 
 noun "
11849,Baltic,,j,
11850,constant,/ˈkɑːnstənt/,n," adj 
 adv 
 noun "
11851,replay,"/ˈriːˌpleı/
/riˈpleı/",v," noun 
 verb "
11852,thematic,"/θıˈmætık/
/θıˈmætıkli/",j," adj 
 adv "
11853,enlighten,/ınˈlaıtn̩/,v," adj 
 verb "
11854,intertwine,/ˌıntɚˈtwaın/,v, verb 
11855,inspirational,/ˌınspəˈreıʃənl̩/,j, adj 
11856,bike,/ˈbaık/,v," noun 
 verb "
11857,surfer,,n, noun 
11858,birthplace,/ˈbɚθˌpleıs/,n, noun 
11859,stewardship,"/ˈstuːwɚdˌʃıp, Brit ˈstjuːwədˌʃıp/",n, noun 
11860,lemonade,/ˌlɛməˈneıd/,n, noun 
11861,exploit [PL],,n,
11862,sporadic,"/spəˈrædık/
/spəˈrædıkli/",j," adj 
 adv "
11863,squid,/ˈskwıd/,n, noun 
11864,unconditional,/ˌʌnkənˈdıʃənl̩/,j," adj 
 adv "
11865,victorious,/vıkˈtorijəs/,j," adj 
 adv "
11866,outcry,/ˈaʊtˌkraı/,n, noun 
11867,hazy,"/ˈheızi/
/ˈheızəli/
/ˈheızinəs/",j," adj 
 adv 
 noun "
11868,blockade,/blɑˈkeıd/,n," noun 
 verb "
11869,swan,/ˈswɑːn/,n," noun 
 verb "
11870,supremacy,/səˈprɛməsi/,n, noun 
11871,pore,/ˈpoɚ/,n," noun 
 verb "
11872,rebirth,/riˈbɚθ/,n, noun 
11873,pat,/ˈpæt/,n," adj 
 adv 
 noun 
 verb "
11874,procurement,/prəˈkjɚmənt/,n, noun 
11875,rooster,/ˈruːstɚ/,n, noun 
11876,spaceship,/ˈspeısˌʃıp/,n, noun 
11877,plop,/ˈplɑːp/,v," noun 
 verb "
11878,ligament,/ˈlıgəmənt/,n, noun 
11879,conveniently,,r, adv 
11880,composting,,j,
11881,dashboard,/ˈdæʃˌboɚd/,n, noun 
11882,budget,"/ˈbʌʤət/
/ˈbʌʤəˌteri, Brit ˈbʌʤətri/",v," adj 
 noun 
 verb "
11883,tally,/ˈtæli/,n," noun 
 verb "
11884,puffy,"/ˈpʌfi/
/ˈpʌfinəs/",j," adj 
 noun "
11885,unavoidable,"/ˌʌnəˈvoıdəbəl/
/ˌʌnəˈvoıdəbli/",j," adj 
 adv "
11886,utopian,/jʊˈtoʊpijən/,j, adj 
11887,Caucasian,"/kɑˈkeıʒən, Brit kɔˈkeıziən/",j," adj 
 noun "
11888,rescuer,,n, noun 
