rank,words,phonetic,coca_speech,WB_speech
17901,ebony,/ˈɛbəni/,n," adj 
 noun "
17902,hour-long,,j,
17903,ancillary,"/ˈænsəˌleri, Brit ænˈsıləri/",j, adj 
17904,dungeon,/ˈdʌnʤən/,n, noun 
17905,computer-based,,j,
17906,dynamism,/ˈdaınəˌmızəm/,n, noun 
17907,retainer,/rıˈteınɚ/,n, noun 
17908,blackmail,/ˈblækˌmeıl/,v," noun 
 verb "
17909,sharp,/ˈʃɑɚp/,r," adj 
 adv 
 noun "
17910,firecracker,/ˈfajɚˌkrækɚ/,n, noun 
17911,vilify,"/ˈvıləˌfaı/
/ˌvıləfəˈkeıʃən/",v," noun 
 verb "
17912,subdivide,/ˌsʌbdəˈvaıd/,v, verb 
17913,gloss,/ˈglɑːs/,v," noun 
 verb "
17914,spraying,,n,
17915,spousal,/ˈspaʊzəl/,j, adj 
17916,slain,,j,
17917,cancerous,/ˈkænsərəs/,j, adj 
17918,automate,"/ˈɑːtəˌmeıt/
/ˌɑːtəˈmeıʃən/",v," adj 
 noun 
 verb "
17919,hulking,/ˈhʌlkıŋ/,j, adj 
17920,islander,/ˈaıləndɚ/,n, noun 
17921,stripped,,j,
17922,reversible,"/rıˈvɚsəbəl/
/rıˌvɚsəˈbıləti/",j," adj 
 noun "
17923,supremacist,/səˈprɛməsıst/,n, noun 
17924,fortitude,"/ˈfoɚtəˌtuːd, Brit ˈfɔːtəˌtjuːd/",n, noun 
17925,importation,/ˌımˌpoɚˈteıʃən/,n, noun 
17926,fiesta,/fiˈɛstə/,n, noun 
17927,restlessness,,n, noun 
17928,distal,,j,
17929,rinsed,,j,
17930,abolitionist,/ˌæbəˈlıʃn̩ıst/,n, noun 
17931,have,"/ˈhæv, əv; in “have to” meaning “must” usually ˈhæf/
/ˈhæz, əz; in “has to” meaning “must” usually ˈhæs/
/ˈhæd, əd/
/ˈhævıŋ/",n, verb 
17932,extra-virgin,,j,
17933,ballgame,,n, noun 
17934,medium-low,,j,
17935,overcast,"/ˈoʊvɚˌkæst, Brit ˈəʊvəˌkɑːst/",j, adj 
17936,carmaker,/ˈkɑɚˌmeıkɚ/,n, noun 
17937,low-wage,,j,
17938,incurable,"/ınˈkjɚrəbəl/
/ınˈkjɚrəbli/",j," adj 
 adv "
17939,tumbler,/ˈtʌmblɚ/,n, noun 
17940,wristwatch,/ˈrıstˌwɑːʧ/,n, noun 
17941,ouster,/ˈaʊstɚ/,n, noun 
17942,hilt,/ˈhilt/,n, noun 
17943,open-minded,/ˌoʊpənˈmaındəd/,j," adj 
 noun "
