rank,words,phonetic,coca_speech,WB_speech
6201,caregiver,/ˈkeɚˌgıvɚ/,n, noun 
6202,activate,"/ˈæktəˌveıt/
/ˌæktəˈveıʃən/",v," noun 
 verb "
6203,exert,/ıgˈzɚt/,v, verb 
6204,naive,"/nɑˈiːv, naıˈiːv/
/nɑˌiːvˈteı, naıˌiːvˈteı/
/nɑˈiːvəti, naıˈiːvəti/",j," adj 
 adv 
 noun "
6205,trustee,/ˌtrʌˈstiː/,n, noun 
6206,kindergarten,"/ˈkındɚˌgɑɚtn̩/
/ˈkındɚˌgɑɚtnɚ/
/ˈkındɚˌgɑɚtənɚ/",n, noun 
6207,cereal,/ˈsirijəl/,n, noun 
6208,Arctic,/ˈɑɚktık/,j, adj 
6209,hug,"/ˈhʌg/
/ˈhʌgəbəl/",n," adj 
 noun 
 verb "
6210,certification,/ˌsɚtəfəˈkeıʃən/,n, noun 
6211,quilt,/ˈkwılt/,n, noun 
6212,sensible,"/ˈsɛnsəbəl/
/ˈsɛnsəbli/",j," adj 
 adv "
6213,turnover,/ˈtɚnˌoʊvɚ/,n, noun 
6214,African,/ˈæfrıkən/,n," adj 
 noun "
6215,fracture,/ˈfrækʧɚ/,n," noun 
 verb "
6216,pyramid,"/ˈpirəˌmıd/
/pəˈræmədl̩/",n," adj 
 noun "
6217,tract,/ˈtrækt/,n, noun 
6218,moving,,j," adj 
 adv "
6219,bachelor,"/ˈbæʧəlɚ/
/ˈbæʧəl̩ɚˌhʊd/",n, noun 
6220,Protestant,"/ˈprɑːtəstənt/
/ˈprɑːtəstənˌtızəm/",j," adj 
 noun "
6221,humble,"/ˈhʌmbəl/
/ˈhʌmbəlnəs/
/ˈhʌmbli/",j," adj 
 adv 
 noun 
 verb "
6222,operational,/ˌɑːpəˈreıʃənl̩/,j, adj 
6223,convincing,,j," adj 
 adv "
6224,descendant,/dıˈsɛndənt/,n, noun 
6225,proudly,,r, adv 
6226,scarf,"/ˈskɑɚf/
/ˈskɑɚvz/",n," noun 
 verb "
6227,lump,/ˈlʌmp/,n," noun 
 verb "
6228,decoration,/ˌdɛkəˈreıʃən/,n, noun 
6229,mammal,"/ˈmæməl/
/məˈmeılijən/",n," adj 
 noun "
6230,wide,/ˈwaıd/,r," adj 
 adv 
 noun "
6231,pumpkin,/ˈpʌmpkən/,n, noun 
6232,configuration,"/kənˌfıgjəˈreıʃən, Brit kənˌfıgəˈreıʃən/",n, noun 
6233,sampling,"/ˈsæmplıŋ, Brit ˈsɑːmplıŋ/",n, noun 
6234,freeway,/ˈfriːˌweı/,n, noun 
6235,clash,/ˈklæʃ/,n," noun 
 verb "
6236,newsletter,"/ˈnuːzˌlɛtɚ, Brit ˈnjuːzˌlɛtə/",n, noun 
6237,ground,/ˈgraʊnd/,v," noun 
 verb "
6238,imitate,"/ˈıməˌteıt/
/ˈıməˌteıtɚ/",v," noun 
 verb "
6239,multiply,/ˈmʌltəˌplaı/,v, verb 
6240,upward,"/ˈʌpwɚd/
/ˈʌpwɚdz/",r," adj 
 adv "
6241,yank,"/ˈjæŋk/
/ˈjæŋk/",v," noun 
 verb "
6242,cough,/ˈkɑːf/,v," noun 
 verb "
6243,notorious,/noʊˈtorijəs/,j," adj 
 adv "
6244,stereo,/ˈsterijoʊ/,n," adj 
 noun "
6245,velvet,/ˈvɛlvət/,n," adj 
 noun "
6246,lethal,/ˈliːθəl/,j," adj 
 adv "
6247,entail,/ınˈteıl/,v, verb 
6248,roller,/ˈroʊlɚ/,n, noun 
6249,olive,/ˈɑːlıv/,n," adj 
 noun "
6250,compost,"/ˈkɑːmˌpoʊst, Brit ˈkɒmˌpɒst/",n," noun 
 verb "
6251,toast,/ˈtoʊst/,n," noun 
 verb "
6252,endeavor,/ınˈdɛvɚ/,n," noun 
 verb "
6253,credential [PL],,n,
6254,broadly,,r, adv 
6255,filmmaker,/ˈfılmˌmeıkɚ/,n, noun 
6256,fix,"/ˈfıks/
/ˈfıksəbəl/
/ˈfıksɚ/",n," adj 
 noun 
 verb "
6257,smoothly,/ˈsmuːðli/,r, adv 
6258,swirl,/ˈswɚl/,v," noun 
 verb "
6259,distraction,/dıˈstrækʃən/,n, noun 
6260,ham,/ˈhæm/,n," noun 
 verb "
6261,roam,/ˈroʊm/,v, verb 
6262,basin,/ˈbeısn̩/,n, noun 
6263,fling,"/ˈflıŋ/
/ˈflʌŋ/",v," noun 
 verb "
6264,livestock,/ˈlaıvˌstɑːk/,n, noun 
6265,foam,"/ˈfoʊm/
/ˈfoʊminəs/
/ˈfoʊmi/",n," adj 
 noun 
 verb "
6266,heroic,"/hıˈrowık/
/hıˈrowıkli/",j," adj 
 adv "
6267,asteroid,/ˈæstəˌroıd/,n, noun 
6268,heir,/ˈeɚ/,n, noun 
6269,tomb,/ˈtuːm/,n, noun 
6270,offset,/ˈɑːfˌsɛt/,v, verb 
6271,bald,/ˈbɑːld/,j," adj 
 adv 
 noun "
6272,abandoned,/əˈbændənd/,j, adj 
6273,anticipation,"/ænˌtısəˈpeıʃən/
/ænˈtısəpəˌtori, Brit ænˌtısəˈpeıtri, ænˈtısəpətri/",n," adj 
 noun "
6274,straightforward,/ˌstreıtˈfoɚwɚd/,j," adj 
 adv 
 noun "
6275,insure,/ınˈʃɚ/,v, verb 
6276,Viking,/ˈvaıkıŋ/,n, noun 
6277,interface,/ˈıntɚˌfeıs/,n," noun 
 verb "
6278,bookstore,/ˈbʊkˌstoɚ/,n, noun 
6279,pope,/ˈpoʊp/,n, noun 
6280,crisp,/ˈkrısp/,j," adj 
 adv 
 noun 
 verb "
6281,encouragement,/ınˈkɚrıʤmənt/,n, noun 
6282,protester,"/prəˈtɛstɚ, ˈproʊˌtɛstɚ/",n, noun 
6283,honesty,/ˈɑːnəsti/,n, noun 
6284,sausage,/ˈsɑːsıʤ/,n, noun 
6285,Sunni,/ˈsʊni/,n," adj 
 noun "
6286,glorious,/ˈglorijəs/,j," adj 
 adv 
 noun "
6287,frustrating,/ˈfrʌˌstreıtıŋ/,j," adj 
 adv "
6288,overturn,/ˌoʊvɚˈtɚn/,v, verb 
6289,compact,"/kəmˈpækt/
/kəmˈpæktnəs/
/kəmˈpækt/
/kəmˈpæktɚ/
/ˈkɑːmˌpækt/
/ˈkɑːmˌpækt/",j," adj 
 adv 
 noun 
 verb "
6290,deprive,/dıˈpraıv/,v, verb 
6291,fearful,/ˈfiɚfəl/,j," adj 
 adv 
 noun "
6292,selective,"/səˈlɛktıv/
/səˌlɛkˈtıvəti/",j," adj 
 adv 
 noun "
6293,transcript,/ˈtrænˌskrıpt/,n, noun 
6294,meditation,/ˌmɛdəˈteıʃən/,n, noun 
6295,shiver,/ˈʃıvɚ/,v," noun 
 verb "
6296,aging,,n," adj 
 noun "
6297,don,/ˈdɑːn/,v," noun 
 verb "
6298,flourish,/ˈflɚrıʃ/,v," noun 
 verb "
6299,discharge,"/dısˈʧɑɚʤ/
/ˈdısˌʧɑɚʤ/",n," noun 
 verb "
6300,mainland,/ˈmeınˌlænd/,n, noun 
