rank,words,phonetic,coca_speech,WB_speech
10001,finale,"/fəˈnæli, fəˈnɑːli/",n, noun 
10002,heading,/ˈhɛdıŋ/,n, noun 
10003,vigor,/ˈvıgɚ/,n, noun 
10004,scarcity,/ˈskeɚsəti/,n, noun 
10005,darkened,,j, adj 
10006,stiffen,"/ˈstıfən/
/ˈstıfənɚ/",v," noun 
 verb "
10007,quarry,"/ˈkwori/
/ˈkworijıŋ/",n," noun 
 verb "
10008,pediatrician,/ˌpiːdijəˈtrıʃən/,n, noun 
10009,uninsured,/ˌʌnınˈʃɚd/,j, adj 
10010,incompetent,/ınˈkɑːmpətənt/,j," adj 
 adv 
 noun "
10011,harness,/ˈhɑɚnəs/,v," noun 
 verb "
10012,dissipate,/ˈdısəˌpeıt/,v, verb 
10013,tow,/ˈtoʊ/,v," noun 
 verb "
10014,leftover,/ˈlɛftˌoʊvɚ/,j," adj 
 noun "
10015,mahogany,/məˈhɑːgəni/,n," adj 
 noun "
10016,publicize,/ˈpʌbləˌsaız/,v, verb 
10017,drizzle,"/ˈdrızəl/
/ˈdrızəli/",n," adj 
 noun 
 verb "
10018,wallpaper,/ˈwɑːlˌpeıpɚ/,n," noun 
 verb "
10019,fatality,/feıˈtæləti/,n, noun 
10020,burden,/ˈbɚdn̩/,v," noun 
 verb "
10021,obscene,/ɑbˈsiːn/,j," adj 
 adv "
10022,visibly,/ˈvızəbli/,r, adv 
10023,oxide,/ˈɑːkˌsaıd/,n, noun 
10024,bulge,/ˈbʌlʤ/,v," adj 
 noun 
 verb "
10025,coercion,"/koʊˈɚʒən, koʊˈɚʃən/",n, noun 
10026,locale,"/loʊˈkæl, Brit ləʊˈkɑːl/",n, noun 
10027,reimbursement,/ˌriːjəmˈbɚsmənt/,n, noun 
10028,diocese,"/ˈdajəsəs/
/ˈdajəsəsəz/
/daıˈɑːsəsən/",n," adj 
 noun "
10029,tracking,,n,
10030,ventilation,/ˌvɛntəˈleıʃən/,n, noun 
10031,ensuing,,j, adj 
10032,subordinate,"/səˈboɚdənət/
/səˈboɚdəˌneıt/
/səˌboɚdəˈneıʃən/",j," adj 
 noun 
 verb "
10033,manure,"/məˈnuɚ, Brit məˈnjʊə/",n, noun 
10034,bidding,,n, noun 
10035,tenet,/ˈtɛnət/,n, noun 
10036,merit,/ˈmerət/,v," noun 
 verb "
10037,pessimistic,"/ˌpɛsəˈmıstık/
/ˌpɛsəˈmıstıkli/",j," adj 
 adv "
10038,same,/ˈseım/,r," adj 
 adv 
 pronoun "
10039,turbulent,/ˈtɚbjələnt/,j," adj 
 adv "
10040,longitudinal,"/ˌlɑːnʤəˈtuːdənəl, Brit ˌlɒnʤəˈtjuːdənəl/",j," adj 
 adv "
10041,cynicism,/ˈsınəˌsızəm/,n, noun 
10042,ethnographic,/ˌɛθnəˈgræfık/,j, adj 
10043,good-looking,/ˈgʊdˈlʊkıŋ/,j, adj 
10044,affirmation,/ˌæfɚˈmeıʃən/,n, noun 
10045,combustion,/kəmˈbʌsʧən/,n, noun 
10046,inviting,/ınˈvaıtıŋ/,j," adj 
 adv "
10047,rustic,"/ˈrʌstık/
/ˌrʌˈstısəti/",j," adj 
 noun "
10048,affiliate,"/əˈfıliˌeıt/
/əˈfılijət/",v," adj 
 noun 
 verb "
10049,invader,,n, noun 
10050,holistic,/hoʊˈlıstık/,j, adj 
10051,light-year,/ˈlaıtˌjiɚ/,n, noun 
10052,discrete,/dıˈskriːt/,j," adj 
 adv "
10053,straddle,/ˈstrædl̩/,v, verb 
10054,mantle,/ˈmæntl̩/,n," noun 
 verb "
10055,exterior,/ɛkˈstirijɚ/,j," adj 
 noun "
10056,aggravate,/ˈægrəˌveıt/,v," adj 
 adv 
 verb "
10057,Norwegian,/noɚˈwiːʤən/,j," adj 
 noun "
10058,haul,"/ˈhɑːl/
/ˈhɑːlɚ/
/ˈhɑːlijɚ/",n," noun 
 verb "
10059,insanity,/ınˈsænəti/,n, noun 
10060,consulting,,n, noun 
10061,exaggerated,,j, adj 
10062,cornerstone,/ˈkoɚnɚˌstoʊn/,n, noun 
10063,geometric,"/ˌʤiːjəˈmɛtrık/
/ˌʤiːjəˈmɛtrıkəl/",j, adj 
10064,seductive,/sıˈdʌktıv/,j," adj 
 adv 
 noun "
10065,luncheon,/ˈlʌnʧən/,n, noun 
10066,called,,j,
10067,problem-solving,,n, noun 
10068,wreath,"/ˈriːθ/
/ˈriːðz, ˈriːθs/",n, noun 
10069,harness,/ˈhɑɚnəs/,n," noun 
 verb "
10070,proprietary,"/prəˈprajəˌteri, Brit prəˈprajətri/",j, adj 
10071,troublesome,/ˈtrʌbəlsəm/,j," adj 
 adv 
 noun "
10072,enclosure,/ınˈkloʊʒɚ/,n, noun 
10073,disposable,/dıˈspoʊzəbəl/,j," adj 
 noun "
10074,gloomy,"/ˈgluːmi/
/ˈgluːməli/
/ˈgluːminəs/",j," adj 
 adv 
 noun "
10075,scribble,/ˈskrıbəl/,v," noun 
 verb "
10076,warhead,/ˈwoɚˌhɛd/,n, noun 
10077,sling,"/ˈslıŋ/
/ˈslʌŋ/",v," noun 
 verb "
10078,kinda,/ˈkaındə/,r,
10079,wooded,/ˈwʊdəd/,j, adj 
10080,flop,/ˈflɑːp/,v," noun 
 verb "
10081,typewriter,/ˈtaıpˌraıtɚ/,n, noun 
10082,row,"/ˈroʊ/
/ˈraʊ/",v," noun 
 verb "
10083,amidst,,i,
10084,annoy,/əˈnoı/,v," adj 
 adv 
 verb "
10085,epic,/ˈɛpık/,n," adj 
 noun "
10086,molest,"/məˈlɛst/
/ˌmoʊˌlɛˈsteıʃən/
/məˈlɛstɚ/",v," noun 
 verb "
10087,ambivalence,/æmˈbıvələns/,n, noun 
10088,nighttime,/ˈnaıtˌtaım/,n, noun 
10089,para,,n,
10090,flux,/ˈflʌks/,n, noun 
10091,following,/ˈfɑːləwıŋ/,r," adj 
 noun 
 prep 
 pronoun "
10092,query,/ˈkwiri/,n," noun 
 verb "
10093,torn,,j,
10094,blizzard,/ˈblızɚd/,n, noun 
10095,condemnation,/ˌkɑːndəmˈneıʃən/,n, noun 
10096,warm-up,/ˈwoɚmˌʌp/,n, noun 
10097,indicative,/ınˈdıkətıv/,j," adj 
 noun "
10098,umpire,/ˈʌmˌpajɚ/,n," noun 
 verb "
10099,scare,/ˈskeɚ/,n," adj 
 noun 
 verb "
10100,managerial,/ˌmænəˈʤirijəl/,j, adj 
