rank,words,phonetic,coca_speech,WB_speech
17301,lacy,/ˈleısi/,j, adj 
17302,duplication,"/ˌduːplıˈkeıʃən, Brit ˌdjuːplıˈkeıʃən/",n, noun 
17303,pop-up,/ˈpɑːpˌʌp/,n," adj 
 noun "
17304,do-it-yourself,,j," adj 
 noun "
17305,all-white,,j,
17306,laughable,"/ˈlæfəbəl, Brit ˈlɑːfəbəl/
/ˈlæfəbli, Brit ˈlɑːfəbli/",j," adj 
 adv "
17307,bewilderment,/bıˈwıɬdɚmənt/,n, noun 
17308,fruition,/fruˈıʃən/,n, noun 
17309,woodpecker,/ˈwʊdˌpɛkɚ/,n, noun 
17310,careen,/kəˈriːn/,v, verb 
17311,extricate,/ˈɛkstrəˌkeıt/,v, verb 
17312,tearful,/ˈtiɚfəl/,j," adj 
 adv 
 noun "
17313,rhubarb,/ˈruːˌbɑɚb/,n, noun 
17314,intergovernmental,/ˌıntɚˌgʌvɚnˈmɛntl̩/,j, adj 
17315,paddy,/ˈpædi/,n, noun 
17316,massively,,r, adv 
17317,depleted,(= weakened) ,j,
17318,identified,,j,
17319,self-report,,n,
17320,butcher,/ˈbʊʧɚ/,v," noun 
 verb "
17321,hesitantly,,r, adv 
17322,well-intentioned,/ˌwɛlınˈtɛnʃənd/,j, adj 
17323,seventeenth-century,,j,
17324,panther,/ˈpænθɚ/,n, noun 
17325,geyser,"/ˈgaıˌzɚ, Brit ˈgiːzə/",n, noun 
17326,ruddy,"/ˈrʌdi/
/ˈrʌdinəs/",j," adj 
 adv 
 noun "
17327,amphitheater,/ˈæmfəˌθiːjətɚ/,n, noun 
17328,carp,/ˈkɑɚp/,n," adj 
 noun 
 verb "
17329,achievable,/əˈʧiːvəbəɬ/,j, adj 
17330,amber,/ˈæmbɚ/,n," adj 
 noun "
17331,repent,"/rıˈpɛnt/
/rıˈpɛntn̩s/
/rıˈpɛntn̩t/",v," adj 
 noun 
 verb "
17332,karaoke,/ˌkeriˈoʊki/,n, noun 
17333,forage,/ˈforıʤ/,n," noun 
 verb "
17334,Slavic,/ˈslɑːvık/,j," adj 
 noun "
17335,underdeveloped,/ˌʌndɚdıˈvɛləpt/,j, adj 
17336,raindrop,/ˈreınˌdrɑːp/,n, noun 
17337,stateroom,/ˈsteıtˌruːm/,n, noun 
17338,cadaver,/kəˈdævɚ/,n, noun 
17339,earmark,/ˈiɚˌmɑɚk/,n," noun 
 verb "
17340,intifada,,n,
17341,mysticism,/ˈmıstəˌsızəm/,n, noun 
17342,oppositional,/ˌɑːpəˈzıʃənl̩/,j, adj 
17343,circular,"/ˈsɚkjəlɚ/
/ˌsɚkjəˈlerəti/",n," adj 
 noun "
17344,brooch,/ˈbroʊʧ/,n, noun 
17345,slink,"/ˈslıŋk/
/ˈslʌŋk/",v, verb 
17346,released,,j,
17347,remittance,/rıˈmıtn̩s/,n, noun 
17348,Spanish-speaking,,j,
17349,iridescent,"/ˌirəˈdɛsn̩t/
/ˌirəˈdɛsn̩s/",j," adj 
 noun "
17350,lilac,"/ˈlaıˌlæk, Brit ˈlaılək/",n, noun 
17351,glut,/ˈglʌt/,n," noun 
 verb "
17352,bookseller,"/ˈbʊkˌsɛlɚ/
/ˈbʊkˌsɛlıŋ/",n, noun 
17353,newsprint,"/ˈnuːzˌprınt, Brit ˈnjuːzˌprınt/",n, noun 
17354,outrun,"/ˌaʊtˈrʌn/
/-ˈræn/",v, verb 
17355,expectant,/ıkˈspɛktənt/,j," adj 
 adv "
17356,projecting,,j,
17357,opulent,"/ˈɑːpjələnt/
/ˈɑːpjələns/",j," adj 
 noun "
17358,allowable,/əˈlawəbəl/,j, adj 
17359,crossfire,/ˈkrɑːsˌfajɚ/,n, noun 
17360,fourth-quarter,,j,
17361,enraged,,j,
17362,songbird,/ˈsɑːŋˌbɚd/,n, noun 
17363,drive-in,/ˈdraıvˌın/,n, noun 
17364,lowering,,n," adj 
 noun "
17365,boob,/ˈbuːb/,n," noun 
 verb "
17366,editor-in-chief,,n, noun 
17367,sheaf,"/ˈʃiːf/
/ˈʃiːvz/",n, noun 
17368,round-trip,/ˈraʊndˌtrıp/,j, adj 
17369,infestation,/ˌınˌfɛˈsteıʃən/,n, noun 
17370,contraceptive,/ˌkɑːntrəˈsɛptıv/,j," adj 
 noun "
17371,sportswriter,/ˈspoɚtsˌraıtɚ/,n, noun 
17372,ointment,/ˈoıntmənt/,n, noun 
17373,Amish,/ˈɑːmıʃ/,n," adj 
 noun "
17374,unbridled,/ˌʌnˈbraıdl̩d/,j, adj 
17375,archer,/ˈɑɚʧɚ/,n, noun 
17376,immobilize,"/ıˈmoʊbəˌlaız/
/ıˌmoʊbələˈzeıʃən/
/ıˈmoʊbəˌlaızɚ/",v," noun 
 verb "
17377,southward,"/ˈsaʊθˌwɚd/
/ˈsaʊθˌwɚdz/",r," adj 
 adv "
17378,spotty,/ˈspɑːti/,j, adj 
17379,grazing,,n,
17380,meddle,"/ˈmɛdl̩/
/ˈmɛdl̩ɚ/",v," adj 
 noun 
 verb "
17381,hardball,/ˈhɑɚdˌbɑːl/,n, noun 
17382,surmount,"/sɚˈmaʊnt/
/sɚˈmaʊntəbəl/",v," adj 
 verb "
17383,hound,/ˈhaʊnd/,v," noun 
 verb "
17384,free-standing,/ˈfriːˈstændıŋ/,j, adj 
17385,box-office,,j, noun 
17386,truckload,/ˈtrʌkˈloʊd/,n, noun 
17387,commensurate,/kəˈmɛnsərət/,j," adj 
 adv "
17388,autoimmune,,j,
17389,revered,,j,
17390,vegetative,/ˈvɛʤəˌteıtıv/,j, adj 
17391,outgrowth,/ˈaʊtˌgroʊθ/,n, noun 
17392,PDA,/ˌpiːˌdiːˈeı/,n, noun 
17393,break-in,/ˈbreıkˌın/,n, noun 
17394,artistically,/ɑɚˈtıstıkli/,r, adv 
17395,nuanced,"/ˈnuːˌɑːnst, Brit ˈnjuːˌɑːnst/",j, adj 
17396,resale,/ˈriːˌseıl/,n, noun 
17397,summons,/ˈsʌmənz/,n," noun 
 verb "
17398,ugliness,/ˈʌglinəs/,n, noun 
17399,repellent,"/rıˈpɛlənt/
/rıˈpɛlənsi/",n," adj 
 noun "
17400,anaerobic,"/ˌænəˈroʊbık/
/ˌænəˈroʊbıkli/",j," adj 
 adv "
