rank,words,phonetic,coca_speech,WB_speech
7801,inheritance,/ınˈherətəns/,n, noun 
7802,expectancy,/ıkˈspɛktənsi/,n, noun 
7803,quantitative,/ˈkwɑːntəˌteıtıv/,j," adj 
 adv "
7804,infamous,/ˈınfəməs/,j," adj 
 adv "
7805,pair,/ˈpeɚ/,v," noun 
 verb "
7806,brink,/ˈbrıŋk/,n, noun 
7807,lease,/ˈliːs/,v," noun 
 verb "
7808,cellar,/ˈsɛlɚ/,n, noun 
7809,briefcase,/ˈbriːfˌkeıs/,n, noun 
7810,pollutant [PL],,n,
7811,paycheck,"/ˈpeıˌʧɛk/
/ˈpeıˌʧɛk/",n, noun 
7812,plum,/ˈplʌm/,n, noun 
7813,elevated,/ˈɛləˌveıtəd/,j, adj 
7814,recede,/rıˈsiːd/,v, verb 
7815,inherently,,r, adv 
7816,code,/ˈkoʊd/,v," noun 
 verb "
7817,abound,/əˈbaʊnd/,v, verb 
7818,repression,/rıˈprɛʃən/,n, noun 
7819,boiling,/ˈboılıŋ/,j," adj 
 adv "
7820,allowance,/əˈlawəns/,n, noun 
7821,kidnapping,,n, noun 
7822,linkage,/ˈlıŋkıʤ/,n, noun 
7823,breakup,,n,
7824,masterpiece,"/ˈmæstɚˌpiːs, Brit ˈmɑːstəˌpiːs/",n, noun 
7825,string,"/ˈstrıŋ/
/ˈstrʌŋ/",v," noun 
 verb "
7826,lust,/ˈlʌst/,n," noun 
 verb "
7827,roast,/ˈroʊst/,v," adj 
 noun 
 verb "
7828,low-fat,,j, adj 
7829,culminate,/ˈkʌlməˌneıt/,v, verb 
7830,plummet,/ˈplʌmət/,v, verb 
7831,maze,/ˈmeız/,n, noun 
7832,militant,"/ˈmılətənt/
/ˈmılətənsi/",j," adj 
 adv 
 noun "
7833,depiction,/dıˈpıkʃən/,n, noun 
7834,humiliation,/hjuˌmıliˈeıʃən/,n, noun 
7835,kindness,/ˈkaındnəs/,n, noun 
7836,interest,/ˈıntrəst/,v," noun 
 verb "
7837,watershed,/ˈwɑːtɚˌʃɛd/,n, noun 
7838,wartime,/ˈwoɚˌtaım/,n, noun 
7839,profit,/ˈprɑːfət/,v," noun 
 verb "
7840,pronounced,/prəˈnaʊnst/,j, adj 
7841,drainage,/ˈdreınıʤ/,n, noun 
7842,ordeal,/oɚˈdiːl/,n, noun 
7843,splendid,/ˈsplɛndəd/,j," adj 
 adv "
7844,multinational,/ˌmʌltiˈnæʃənəl/,j," adj 
 noun "
7845,shell,/ˈʃɛl/,v," noun 
 verb "
7846,implicate,/ˈımpləˌkeıt/,v, verb 
7847,periodic,"/ˌpiriˈɑːdık/
/ˌpiriˈɑːdıkli/",j," adj 
 adv "
7848,refined,,j, adj 
7849,mesh,/ˈmɛʃ/,n," noun 
 verb "
7850,snapshot,/ˈsnæpˌʃɑːt/,n, noun 
