rank,words,phonetic,coca_speech,WB_speech
15901,air-conditioned,/ˌeɚkənˈdıʃənd/,j, adj 
15902,evaporation,/ıˌvæpəˈreıʃən/,n, noun 
15903,catering,,n, noun 
15904,terra-cotta,/ˌterəˈkɑːtə/,n, noun 
15905,teacher-librarian,,n,
15906,underpin,"/ˌʌndɚˈpın/
/ˈʌndɚˌpınıŋ/",v," noun 
 verb "
15907,cologne,/kəˈloʊn/,n, noun 
15908,deformity,/dıˈfoɚməti/,n, noun 
15909,graciously,,r, adv 
15910,Quaker,/ˈkweıkɚ/,j," adj 
 noun "
15911,perfectionist,"/pɚˈfɛkʃənıst/
/pɚˈfɛkʃəˌnızəm/",n, noun 
15912,noxious,/ˈnɑːkʃəs/,j, adj 
15913,pivot,/ˈpıvət/,n," noun 
 verb "
15914,dispersal,/dıˈspɚsəl/,n, noun 
15915,Siberian,,j,
15916,aerosol,/ˈerəˌsɑːl/,n, noun 
15917,morbidity,Main entry:,n,
15918,shaking,,n,
15919,gnarled,/ˈnɑrəld/,j, adj 
15920,encroach,"/ınˈkroʊʧ/
/ınˈkroʊʧmənt/",v," noun 
 verb "
15921,pursuant,,i,
15922,atrium,"/ˈeıtrijəm/
/ˈeıtrijə/",n, noun 
15923,perceptive,/pɚˈsɛptıv/,j," adj 
 adv 
 noun "
15924,in-service,/ˈınˈsɚvəs/,j, adj 
15925,legalization,"/ˌliːgələˈzeıʃən, Brit ˌligəˌlaıˈzeıʃən/",n, noun 
15926,cyst,/ˈsıst/,n, noun 
15927,detectable,/dıˈtɛktəbəl/,j, adj 
15928,righteousness,,n, noun 
15929,bicycle,"/ˈbaısıkəl/
/ˈbaısıklɚ/
/ˈbaısıklıst/",v," noun 
 verb "
15930,ethereal,/ıˈθirijəl/,j," adj 
 adv "
15931,three-time,,j,
15932,swine,/ˈswaın/,n, noun 
15933,contrive,/kənˈtraıv/,v, verb 
15934,peacock,/ˈpiːˌkɑːk/,n, noun 
15935,phrasing,,n, noun 
15936,intolerant,"/ınˈtɑːlərənt/
/ınˈtɑːlərəns/",j," adj 
 adv 
 noun "
15937,pomegranate,/ˈpɑːməˌgrænət/,n, noun 
15938,intrepid,/ınˈtrɛpəd/,j, adj 
15939,skyward,"/ˈskaıwɚd/
/ˈskaıwɚdz/",r, adv 
15940,blatantly,,r, adv 
15941,laurel,/ˈlorəl/,n, noun 
15942,mid-afternoon,"/ˌmıdˌæftɚˈnuːn, Brit ˌmıdˌɑːftəˈnuːn/",n, noun 
15943,English-language,,j,
15944,abet,/əˈbɛt/,v, verb 
15945,warplane,/ˈwoɚˌpleın/,n, noun 
15946,condescending,,j," adj 
 adv "
15947,swish,/ˈswıʃ/,v," adj 
 noun 
 verb "
15948,awning,/ˈɑːnıŋ/,n, noun 
15949,entanglement,/ınˈtæŋgəlmənt/,n, noun 
15950,justifiable,/ˈʤʌstəˌfajəbəl/,j, adj 
15951,acorn,/ˈeıˌkoɚn/,n, noun 
15952,APR,,n,
15953,cottonwood,/ˈkɑːtn̩ˌwʊd/,n, noun 
15954,childless,/ˈʧajəldləs/,j," adj 
 noun "
15955,interim,/ˈıntərəm/,n," adj 
 noun "
15956,scandalous,/ˈskændələs/,j," adj 
 adv "
15957,perplex,/pɚˈplɛks/,v, verb 
15958,urchin,/ˈɚʧən/,n, noun 
15959,run-up,/ˈrʌnˌʌp/,n, noun 
15960,grisly,/ˈgrızli/,j, adj 
15961,paparazzi,,n,
15962,stockbroker,/ˈstɑːkˌbroʊkɚ/,n, noun 
15963,gingerbread,/ˈʤınʤɚˌbrɛd/,n, noun 
15964,ineligible,"/ınˈɛləʤəbəl/
/ınˌɛləʤəˈbıləti/",j," adj 
 noun "
15965,hypnosis,/hıpˈnoʊsəs/,n, noun 
15966,dropping,/ˈdrɑːpıŋ/,n, noun 
15967,garland,/ˈgɑɚlənd/,n," noun 
 verb "
15968,envious,/ˈɛnvijəs/,j," adj 
 adv "
15969,blockage,/ˈblɑːkıʤ/,n, noun 
15970,schematic,/skıˈmætık/,j, adj 
15971,vaccinate,"/ˈvæksəˌneıt/
/ˌvæksəˈneıʃən/",v," noun 
 verb "
15972,lentils [PL],,n,
15973,Briton,/ˈbrıtn̩/,n, noun 
15974,braided,,j, adj 
15975,censure,/ˈsɛnʃɚ/,n," noun 
 verb "
15976,cultured,,j, adj 
15977,smirk,/ˈsmɚk/,n," noun 
 verb "
15978,musty,"/ˈmʌsti/
/ˈmʌstinəs/",j," adj 
 noun "
15979,resounding,/rıˈzaʊndıŋ/,j," adj 
 adv "
15980,Audubon,,n,
15981,predation,/prıˈdeıʃən/,n, noun 
15982,neoliberal,,j,
15983,hopper,/ˈhɑːpɚ/,n, noun 
15984,starship,,n,
15985,Yoruba,,j,
15986,pronunciation,/prəˌnʌnsiˈeıʃən/,n, noun 
15987,phantom,/ˈfæntəm/,j," adj 
 noun "
15988,humanist,/ˈhjuːmənıst/,j, noun 
15989,institutionalized,,j, adj 
15990,melanoma,"/ˌmɛləˈnoʊmə/
/-mətə/",n, noun 
15991,grimy,/ˈgraımi/,j, adj 
15992,toenail,/ˈtoʊˌneıl/,n, noun 
15993,ICU,,n,
15994,syllabus,"/ˈsıləbəs/
/-ˌbaı/",n, noun 
15995,cynic,/ˈsınık/,n, noun 
15996,astonishingly,,r, adv 
15997,oversize,"/ˌoʊvɚˈsaız/
/ˌoʊvɚˈsaızd/",j, adj 
15998,thirty-seven,,m,
15999,commemoration,/kəˌmɛməˈreıʃən/,n, noun 
16000,phobia,/ˈfoʊbijə/,n, noun 
