rank,words,phonetic,coca_speech,WB_speech
17101,betting,,n," adj 
 noun "
17102,alienated,,j, adj 
17103,tidbit,"/ˈtıdˌbıt/
/ˈtıtˌbıt/",n, noun 
17104,dogmatic,"/dɑgˈmætık/
/dɑgˈmætıkli/
/ˈdɑːgməˌtızəm/
/ˈdɑːgmətıst/",j," adj 
 adv 
 noun "
17105,imam,/ıˈmɑːm/,n, noun 
17106,PVC,/ˌpiːˌviːˈsiː/,n, noun 
17107,Norwegian,/noɚˈwiːʤən/,n," adj 
 noun "
17108,grandpa,/ˈgræmˌpɑː/,n, noun 
17109,reprint,"/riˈprınt/
/ˈriːˌprınt/",n," noun 
 verb "
17110,hallowed,/ˈhæloʊd/,j, adj 
17111,leveraged,Main entry:,j,
17112,aesthetically,"/ɛsˈθɛtıkli, Brit iːsˈθɛtıkli/",r, adv 
17113,navigator,/ˈnævəˌgeıtɚ/,n, noun 
17114,half-mile,,j,
17115,barb,/ˈbɑɚb/,n, noun 
17116,concentric,/kənˈsɛntrık/,j, adj 
17117,fondle,/ˈfɑːndl̩/,v, verb 
17118,functionality,/ˌfʌŋkʃəˈnæləti/,n, noun 
17119,landed,/ˈlændəd/,j, adj 
17120,metaphorically,/ˌmɛtəˈforıkli/,r, adv 
17121,cam,/ˈkæm/,n, noun 
17122,rump,/ˈrʌmp/,n, noun 
17123,shh,,u,
17124,forgery,/ˈfoɚʤəri/,n, noun 
17125,lymphoma,,n,
17126,raider,/ˈreıdɚ/,n, noun 
17127,amphibian,/æmˈfıbijən/,n, noun 
17128,glider,/ˈglaıdɚ/,n, noun 
17129,thong,/ˈθɑːŋ/,n, noun 
17130,swipe,/ˈswaıp/,n," noun 
 verb "
17131,ethicist,,n,
17132,outflow,/ˈaʊtˌfloʊ/,n, noun 
17133,coca,,n,
17134,wearer,,n, noun 
17135,silo,/ˈsaıloʊ/,n, noun 
17136,picky,/ˈpıki/,j, adj 
17137,sober,/ˈsoʊbɚ/,v," adj 
 adv 
 verb "
17138,firefly,/ˈfajɚˌflaı/,n, noun 
17139,scowl,/ˈskawəl/,n," noun 
 verb "
17140,saffron,"/ˈsæˌfrɑːn, Brit ˈsæfrən/",n, noun 
17141,worksheet,/ˈwɚkˌʃiːt/,n, noun 
17142,slugger,/ˈslʌgɚ/,n, noun 
17143,matron,/ˈmeıtrən/,n, noun 
17144,matte,/ˈmæt/,n, adj 
17145,carelessly,,r, adv 
17146,accredit,"/əˈkrɛdət/
/əˌkrɛdəˈteıʃən/",v," adj 
 noun 
 verb "
17147,Zulu,/ˈzuːˌluː/,j, noun 
17148,categorically,/ˌkætəˈgorıkli/,r, adv 
17149,rout,/ˈraʊt/,n," noun 
 verb "
17150,intercollegiate,/ˌıntɚkəˈliːʤət/,j, adj 
17151,dupe,"/ˈduːp, Brit ˈdjuːp/",v," noun 
 verb "
17152,beret,/bəˈreı/,n, noun 
17153,orally,,r, adv 
17154,well-documented,/ˌwɛlˈdɑːkjəˌmɛntəd/,j, adj 
17155,abreast,/əˈbrɛst/,j, adv 
17156,electrify,"/ıˈlɛktrəˌfaı/
/ıˌlɛktrəfəˈkeıʃən/",v," adj 
 noun 
 verb "
17157,storied,"/ˈstorid/
/ˈstorid/",j, adj 
17158,emissary,"/ˈɛməˌseri, Brit ˈɛməsri/",n, noun 
17159,trove,/ˈtroʊv/,n, noun 
17160,mackerel,/ˈmækərəl/,n, noun 
