rank,words,phonetic,coca_speech,WB_speech
13901,chasm,/ˈkæzəm/,n, noun 
13902,spatula,/ˈspæʧələ/,n, noun 
13903,purify,"/ˈpjɚrəˌfaı/
/ˌpjɚrəfəˈkeıʃən/",v," noun 
 verb "
13904,archbishop,/ɑɚʧˈbıʃəp/,n, noun 
13905,full-size,/ˈfʊlˌsaız/,j, adj 
13906,mouth,"/ˈmaʊθ/
/ˈmaʊðz/
/ˈmaʊð/",v," noun 
 verb "
13907,pretext,/ˈpriːˌtɛkst/,n, noun 
13908,preposterous,/prıˈpɑːstərəs/,j," adj 
 adv 
 noun "
13909,kerosene,/ˈkerəˌsiːn/,n, noun 
13910,lowered,,j,
13911,organizing,,j,
13912,discursive,/dıˈskɚsıv/,j," adj 
 adv "
13913,ultra,/ˌʌltrə/,r,
13914,communicator,/kəˈmjuːnəˌkeıtɚ/,n, noun 
13915,run-down,/ˈrʌnˈdaʊn/,j, adj 
13916,exile,"/ˈɛgˌzajəl, ˈɛkˌsajəl/",v," noun 
 verb "
13917,intestinal,/ınˈtɛstənl̩/,j, adj 
13918,endeavor,/ınˈdɛvɚ/,v," noun 
 verb "
13919,visceral,/ˈvısərəl/,j," adj 
 adv "
13920,feign,/ˈfeın/,v," adj 
 verb "
13921,drop-off,,n,
13922,Romanian,,j,
13923,dreaded,,j, adj 
13924,decentralized,,j,
13925,clipboard,/ˈklıpˌboɚd/,n, noun 
13926,carrying,,n,
13927,gypsy,/ˈʤıpsi/,n, noun 
13928,RNA,/ˌɑɚˌɛnˈeı/,n, noun 
13929,murdered,,j,
13930,shifting,,n,
13931,Eucharist,"/ˈjuːkərəst/
/ˌyuːkəˈrıstık/",n," adj 
 noun "
13932,defect,"/ˈdiːˌfɛkt/
/dıˈfɛkt/
/dıˈfɛkʃən/
/dıˈfɛktɚ/",v," noun 
 verb "
13933,swimsuit,/ˈswımˌsuːt/,n, noun 
13934,upland,/ˈʌplənd/,n," adj 
 noun "
13935,coincidentally,,r, adv 
13936,conversational,/ˌkɑːnvɚˈseıʃənl̩/,j," adj 
 adv "
13937,jeweler,/ˈʤuːlɚ/,n, noun 
13938,futility,/fjuˈtıləti/,n, noun 
13939,backside,/ˈbækˌsaıd/,n, noun 
13940,vigilance,/ˈvıʤələns/,n, noun 
13941,confrontational,/ˌkɑːnfrənˈteıʃənl̩/,j, adj 
13942,surmise,/sɚˈmaız/,v," noun 
 verb "
13943,starch,/ˈstɑɚʧ/,n," noun 
 verb "
13944,rubric,/ˈruːbrık/,n, noun 
13945,legitimately,,r, adv 
13946,normalize,"/ˈnoɚməˌlaız/
/ˌnoɚmələˈzeıʃən, Brit ˌnɔːməˌlaıˈzeıʃən/",v," noun 
 verb "
13947,rework,/riˈwɚk/,v, verb 
13948,evocative,/ıˈvɑːkətıv/,j, adj 
13949,acronym,/ˈækrəˌnım/,n, noun 
13950,self-image,/ˈsɛlfˈımıʤ/,n, noun 
13951,distrust,"/dısˈtrʌst/
/dısˈtrʌstfəl/",v," adj 
 adv 
 noun 
 verb "
13952,swipe,/ˈswaıp/,v," noun 
 verb "
13953,exhibitor,/ıgˈzıbətɚ/,n, noun 
13954,stump,/ˈstʌmp/,v," noun 
 verb "
13955,forward,"/ˈfoɚwɚd/
/ˈfoɚˌwɚdz/",v," adj 
 adv 
 noun 
 verb "
13956,unbelievably,/ˌʌnbəˈliːvəbli/,r, adv 
13957,observable,"/əbˈzɚvəbəl/
/əbˈzɚvəbli/",j," adj 
 adv "
13958,charging,,j,
13959,much-needed,,j,
13960,oceanic,/ˌoʊʃiˈænık/,j, adj 
13961,philanthropy,"/fəˈlænθrəpi/
/ˌfılənˈθrɑːpık/",n," adj 
 noun "
13962,recount,"/rıˈkaʊnt/
/riˈkaʊnt/
/ˈriːˌkaʊnt/",n," noun 
 verb "
13963,epistemological,,j,
13964,hotly,,r, adv 
13965,aquifer,/ˈækwəfɚ/,n, noun 
13966,trivia,/ˈtrıvijə/,n, noun 
13967,finesse,/fəˈnɛs/,n," noun 
 verb "
13968,chimp,/ˈʧımp/,n, noun 
13969,ideologically,/ˌaıdijəˈlɑːʤıkli/,r, adv 
13970,TNT,/ˌtiːˌɛnˈtiː/,n, noun 
13971,heavy-duty,"/ˈhɛviˈduːti, Brit ˈhɛviˈdjuːti/",j, adj 
13972,fluke,/ˈfluːk/,n, noun 
13973,regular-season,,j,
13974,hilltop,/ˈhılˌtɑːp/,n, noun 
13975,Albanian,,n,
13976,unbroken,/ˌʌnˈbroʊkən/,j, adj 
13977,confluence,/ˈkɑːnˌfluːwəns/,n, noun 
13978,cool,"/ˈkuːl/
/ˈkuːlıʃ/",n," adj 
 adv 
 noun 
 verb "
13979,tiptoe,/ˈtıpˌtoʊ/,v," adv 
 noun 
 verb "
13980,stockpile,/ˈstɑːkˌpajəl/,n," noun 
 verb "
13981,saxophone,/ˈsæksəˌfoʊn/,n, noun 
13982,crusty,/ˈkrʌsti/,j," adj 
 noun "
13983,extremity,/ıkˈstrɛməti/,n, noun 
13984,innovator,/ˈınəˌveıtɚ/,n, noun 
13985,ready,/ˈrɛdi/,r," adj 
 noun 
 verb "
13986,limitless,/ˈlımətləs/,j, adj 
13987,melodic,"/məˈlɑːdık/
/məˈlɑːdıkli/",j," adj 
 adv "
13988,striker,/ˈstraıkɚ/,n, noun 
13989,despair,/dıˈspeɚ/,v," noun 
 verb "
13990,Creole,"/ˈkriːˌoʊl/
/ˈkriːˌoʊl/",j," adj 
 noun "
13991,informational,/ˌınfɚˈmeıʃənl̩/,j, adj 
13992,kidnapper,,n, noun 
13993,pre-existing,/ˌpriːıgˈzıstıŋ/,j, adj 
13994,rowing,/ˈrowıŋ/,n, noun 
13995,hegemonic,Main entry:,j,
13996,forecaster,,n, noun 
13997,complicity,/kəmˈplısəti/,n, noun 
13998,puzzling,/ˈpʌzəlıŋ/,j, adj 
13999,cautionary,"/ˈkɑːʃəˌneri, Brit ˈkɔːʃənri/",j, adj 
