rank,words,phonetic,coca_speech,WB_speech
10901,Yugoslav,,j,
10902,theorize,/ˈθiːjəˌraız/,v, verb 
10903,erratic,"/ıˈrætık/
/ıˈrætıkli/",j," adj 
 adv "
10904,stronghold,/ˈstrɑːŋˌhoʊld/,n, noun 
10905,expend,/ıkˈspɛnd/,v, verb 
10906,resilient,/rıˈzıljənt/,j," adj 
 adv "
10907,special,/ˈspɛʃəl/,n," adj 
 noun "
10908,Mormon,"/ˈmoɚmən/
/ˈmoɚməˌnızəm/",j," adj 
 noun "
10909,dispel,/dıˈspɛl/,v, verb 
10910,hilarious,/hıˈlerijəs/,j," adj 
 adv "
10911,eggplant,/ˈɛgˌplænt/,n, noun 
10912,mother-in-law,"/ˈmʌðɚrənˌlɑː/
/ˈmʌðɚzənˌlɑː/",n, noun 
10913,redesign,/ˌriːdıˈzaın/,v," noun 
 verb "
10914,airy,"/ˈeri/
/ˈerəli/
/ˈerinəs/",j," adj 
 adv 
 noun "
10915,revere,/rıˈviɚ/,v, verb 
10916,small-town,/ˈsmɑːlˌtaʊn/,j, adj 
10917,wiggle,/ˈwıgəl/,v," noun 
 verb "
10918,taunt,"/ˈtɑːnt/
/ˈtɑːntıŋli/",v," adv 
 noun 
 verb "
10919,syringe,/səˈrınʤ/,n, noun 
10920,renounce,/rıˈnaʊns/,v, verb 
10921,frown,"/ˈfraʊn/
/ˈfraʊnıŋli/",n," adv 
 noun 
 verb "
10922,handshake,/ˈhændˌʃeık/,n, noun 
10923,envelop,"/ınˈvɛləp/
/ınˈvɛləpmənt/",v," noun 
 verb "
10924,pointer,/ˈpoıntɚ/,n, noun 
10925,emigrate,"/ˈɛməˌgreıt/
/ˌɛməˈgreıʃən/",v," noun 
 verb "
10926,distrust,"/dısˈtrʌst/
/dısˈtrʌstfəl/",n," adj 
 adv 
 noun 
 verb "
10927,Shiite,/ˈʃiːˌaıt/,n," adj 
 noun "
10928,arch,/ˈɑɚʧ/,v," adj 
 adv 
 noun 
 verb "
10929,squeeze,/ˈskwiːz/,n," noun 
 verb "
10930,bundle,/ˈbʌndəl/,v," noun 
 verb "
10931,cardboard,/ˈkɑɚdˌboɚd/,n," adj 
 noun "
10932,bribe,/ˈbraıb/,n," noun 
 verb "
10933,overstate,"/ˌoʊvɚˈsteıt/
/ˌoʊvɚˈsteıtmənt/",v," noun 
 verb "
10934,investing,,j, noun 
10935,swath,"/ˈswɑːθ/
/ˈswɑːð/",n, noun 
10936,whichever,/wıʧˈɛvɚ/,d," adj 
 pronoun "
10937,disapprove,/ˌdısəˈpruːv/,v," adj 
 adv 
 verb "
10938,kindly,"/ˈkaındli/
/ˈkaındlinəs/",r," adj 
 adv 
 noun "
10939,tan,/ˈtæn/,n," adj 
 noun 
 verb "
10940,yawn,/ˈjɑːn/,v," noun 
 verb "
10941,lore,/ˈloɚ/,n, noun 
10942,herd,"/ˈhɚd/
/ˈhɚdɚ/",v," noun 
 verb "
10943,gray,"/ˈgreı/
/ˈgrejıʃ/",n," adj 
 noun 
 verb "
10944,gag,/ˈgæg/,n," noun 
 verb "
10945,hearth,/ˈhɑɚθ/,n, noun 
10946,emphatically,/ımˈfætıkli/,r, adv 
10947,closeness,,n, noun 
