rank,words,phonetic,coca_speech,WB_speech
18101,mistreatment,/ˌmısˈtriːtmənt/,n, noun 
18102,whisky,,n,
18103,unplanned,/ˌʌnˈplænd/,j, adj 
18104,idiotic,/ˌıdiˈɑːtık/,j, adj 
18105,underwriter,/ˈʌndɚˌraıtɚ/,n, noun 
18106,hearsay,/ˈhiɚˌseı/,n, noun 
18107,retool,/riˈtuːl/,v, verb 
18108,ascendancy,/əˈsɛndənsi/,n, noun 
18109,indie,/ˈındi/,n," adj 
 noun "
18110,sameness,/ˈseımnəs/,n, noun 
18111,wharf,"/ˈwoɚf/
/ˈwoɚvz/",n, noun 
18112,luminary,"/ˈluːməˌneri, Brit ˈluːmənəri/",n, noun 
18113,sparingly,/ˈsperıŋli/,r, adv 
18114,reassign,,v,
18115,materially,,r, adv 
18116,space-time,,j,
18117,redneck,"/ˈrɛdˌnɛk/
/ˈrɛdˌnɛkt/",n," adj 
 noun "
18118,copious,/ˈkoʊpijəs/,j," adj 
 adv "
18119,rater,,n,
18120,ineffectual,"/ˌınəˈfɛkʧəwəl/
/ˌınəˈfɛkʧəwəli/",j," adj 
 adv "
18121,shackle [PL],,n,
18122,upshot,/ˈʌpˌʃɑːt/,n, noun 
18123,assertiveness,,n, noun 
18124,adaptability,/əˌdæptəˈbıləti/,n, noun 
18125,penitentiary,/ˌpɛnəˈtɛnʃəri/,n, noun 
18126,tantalizing,,j, adj 
18127,mating,,n,
18128,molester,/məˈlɛstɚ/,n, noun 
18129,blackmail,/ˈblækˌmeıl/,n," noun 
 verb "
18130,dispersed,,j,
18131,oeuvre,"/ˈʊvrə, Brit ˈəːvrə/",n, noun 
18132,backtrack,/ˈbækˌtræk/,v, verb 
18133,staple,/ˈsteıpəl/,v," adj 
 noun 
 verb "
18134,enchanting,,j, adj 
18135,self-awareness,"/ˌsɛlfəˈweɚnəs/
/ˌsɛlfəˈweɚ/",n," adj 
 noun "
18136,inordinate,/ınˈoɚdn̩ət/,j," adj 
 adv "
18137,downsizing,,n, noun 
18138,petitioner,/pəˈtıʃənɚ/,n, noun 
18139,cusp,/ˈkʌsp/,n, noun 
18140,diplomatically,/ˌdıpləˈmætıkli/,r, adv 
18141,lurch,/ˈlɚʧ/,n," noun 
 verb "
18142,disavow,"/ˌdısəˈvaʊ/
/ˌdısəˈvawəl/",v," noun 
 verb "
18143,knapsack,/ˈnæpˌsæk/,n, noun 
18144,unwrap,/ˌʌnˈræp/,v, verb 
18145,non-white,/ˈnɑːnˈwaıt/,n," adj 
 noun "
18146,head-to-head,,j," adj 
 adv "
18147,celeb,/səˈlɛb/,n, noun 
18148,untitled,/ˌʌnˈtaıtl̩d/,j, adj 
18149,alderman,"/ˈɑːldɚmən/
/-mən/
/ˌɑːldɚˈmænık/",n," adj 
 noun "
18150,homely,/ˈhoʊmli/,j," adj 
 noun "
18151,flowering,,n," adj 
 noun "
18152,informer,/ınˈfoɚmɚ/,n, noun 
18153,full-service,/ˈfʊlˈsɚvəs/,j, adj 
18154,meteorological,/ˌmiːtijərəˈlɑːʤıkəl/,j, adj 
18155,idealize,"/aıˈdiːjəˌlaız/
/aıˌdiːjələˈzeıʃən, Brit aıˌdıəˌlaıˈzeıʃən/",v," adj 
 noun 
 verb "
18156,monopolize,"/məˈnɑːpəˌlaız/
/məˈnɑːpəlıst/
/məˌnɑːpələˈzeıʃən, Brit məˌnɒpəˌlaıˈzeıʃən/",v," noun 
 verb "
18157,solicitor,/səˈlısətɚ/,n, noun 
18158,ingrain,,v,
18159,quiver,/ˈkwıvɚ/,n," noun 
 verb "
18160,inexperience,"/ˌınıkˈspirijəns/
/ˌınıkˈspirijənst/",n," adj 
 noun "
18161,fluff,/ˈflʌf/,v," noun 
 verb "
18162,fell,/ˈfɛl/,v," adj 
 noun 
 verb "
18163,boxed,,j,
18164,collarbone,/ˈkɑːlɚˌboʊn/,n, noun 
18165,hazelnut,/ˈheızəlˌnʌt/,n, noun 
18166,henceforth,/ˈhɛnsˌfoɚθ/,r, adv 
18167,pout,"/ˈpaʊt/
/ˈpaʊti/",v," adj 
 noun 
 verb "
18168,offshoot,/ˈɑːfˌʃuːt/,n, noun 
18169,wayside,/ˈweıˌsaıd/,n, noun 
18170,outmoded,/ˌaʊtˈmoʊdəd/,j, adj 
18171,discriminant,,j,
18172,intelligible,"/ınˈtɛləʤəbəl/
/ınˌtɛləʤəˈbıləti/
/ınˈtɛləʤəbli/",j," adj 
 adv 
 noun "
18173,consonant,"/ˈkɑːnsənənt/
/ˈkɑːnsənəs/",n," adj 
 noun "
18174,recklessly,,r, adv 
18175,banter,/ˈbæntɚ/,n," noun 
 verb "
18176,canning,,n, noun 
18177,smashed,/ˈsmæʃt/,j, adj 
18178,rainstorm,/ˈreınˌstoɚm/,n, noun 
18179,unicorn,/ˈjuːnəˌkoɚn/,n, noun 
18180,uncooked,/ˌʌnˈkʊkt/,j, adj 
18181,tasteful,/ˈteıstfəl/,j," adj 
 adv 
 noun "
18182,seaman,/ˈsiːmən/,n, noun 
18183,inactivity,/ınˌækˈtıvəti/,n, noun 
18184,racy,"/ˈreısi/
/ˈreısəli/
/ˈreısinəs/",j," adj 
 adv 
 noun "
18185,supersonic,"/ˌsuːpɚˈsɑːnık/
/ˌsuːpɚˈsɑːnıkli/",j," adj 
 adv "
18186,warming,,j, noun 
18187,inlaid,/ˈınˈleıd/,j, adj 
18188,generality,/ˌʤɛnəˈræləti/,n, noun 
18189,indulgent,/ınˈdʌlʤənt/,j," adj 
 adv "
