rank,words,phonetic,coca_speech,WB_speech
18901,whir,/ˈwɚ/,v," noun 
 verb "
18902,spindly,/ˈspındli/,j, adj 
18903,buzzword,/ˈbʌzˌwɚd/,n, noun 
18904,expressionless,/ıkˈsprɛʃənləs/,j, adj 
18905,torch,/ˈtoɚʧ/,v," noun 
 verb "
18906,ransack,/ˈrænˌsæk/,v, verb 
18907,cheater,,n, noun 
18908,navigational,/ˌnævəˈgeıʃənl̩/,j, adj 
18909,holly,/ˈhɑːli/,n, noun 
18910,repugnant,/rıˈpʌgnənt/,j, adj 
18911,forester,/ˈforəstɚ/,n, noun 
18912,big-screen,,j, noun 
18913,earthen,/ˈɚθən/,j, adj 
18914,wily,"/ˈwaıli/
/ˈwaılinəs/",j," adj 
 noun "
18915,bulging,,j, adj 
18916,boarder,/ˈboɚdɚ/,n, noun 
18917,permissive,/pɚˈmısıv/,j," adj 
 noun "
18918,invertebrate,/ınˈvɚtəbrət/,n," adj 
 noun "
18919,vertebrate,/ˈvɚtəbrət/,n," adj 
 noun "
18920,backpack,/ˈbækˌpæk/,v," noun 
 verb "
18921,orator,/ˈorətɚ/,n, noun 
18922,three-bedroom,,j,
18923,emigre,,n,
18924,humbling,,j, adj 
18925,pleated,/ˈpliːtəd/,j, adj 
18926,litigate,"/ˈlıtəˌgeıt/
/ˌlıtəˈgeıʃən/
/ˈlıtəˌgeıtɚ/",v," noun 
 verb "
18927,self-regulation,,n,
18928,turntable,/ˈtɚnˌteıbəl/,n, noun 
18929,goatee,"/goʊˈtiː/
/goʊˈtiːd/",n," adj 
 noun "
18930,instantaneously,,r, adv 
18931,esophagus,"/ıˈsɑːfəgəs/
/-ˌgaı/",n, noun 
18932,arugula,"/əˈruːgələ, Brit əˈruːgjələ/",n, noun 
18933,Astrodome,,n,
18934,rheumatoid,,j,
18935,recalcitrant,"/rıˈkælsətrənt/
/rıˈkælsətrəns/",j," adj 
 noun "
18936,vouch,/ˈvaʊʧ/,v, verb 
18937,unwrapped,,j,
18938,affirmative,/əˈfɚmətıv/,n," adj 
 adv 
 noun "
18939,suburbia,/səˈbɚbijə/,n, noun 
18940,subconscious,/ˌsʌbˈkɑːnʃəs/,n," adj 
 adv 
 noun "
18941,appraiser,,n, noun 
18942,indoctrination,/ınˌdɑːktrəˈneıʃən/,n, noun 
18943,foundry,/ˈfaʊndri/,n, noun 
18944,mushroom,/ˈmʌʃˌruːm/,v," noun 
 verb "
18945,downhill,"/ˌdaʊnˈhıl/
/ˈdaʊnˌhıl/
/ˈdaʊnˌhıl/",n," adj 
 adv 
 noun "
18946,strum,/ˈstrʌm/,v," noun 
 verb "
18947,admirably,/ˈædmrəbli/,r, adv 
18948,incontinence,/ınˈkɑːntənəns/,n, noun 
18949,handset,/ˈhændˌsɛt/,n, noun 
18950,reforming,,j,
18951,Sioux,"/ˈsuː/
/ˈsuː/",n, noun 
18952,trawler,/ˈtrɑːlɚ/,n, noun 
18953,deliverance,/dıˈlıvərəns/,n, noun 
18954,CFC,,n,
18955,aftershock,"/ˈæftɚˌʃɑːk, Brit ˈɑːftəˌʃɒk/",n, noun 
18956,stricture [PL],,n,
18957,triathlon,"/traıˈæθlən/
/traıˈæθˌliːt/",n, noun 
18958,manhunt,/ˈmænˌhʌnt/,n, noun 
18959,sleeveless,/ˈsliːvləs/,j, adj 
18960,humanly,/ˈhjuːmənli/,r, adv 
18961,irreplaceable,/ˌirıˈpleısəbəl/,j, adj 
18962,shave,"/ˈʃeıv/
/ˈʃeıvən/",n," noun 
 verb "
18963,hiccup,"/ˈhıˌkʌp/
/ˈhıˌkʌp/",n," noun 
 verb "
18964,cluck,/ˈklʌk/,v," noun 
 verb "
18965,mesquite,/məˈskiːt/,n, noun 
18966,sleet,/ˈsliːt/,n," noun 
 verb "
18967,misperception,,n,
18968,travesty,/ˈtrævəsti/,n, noun 
18969,crudely,,r, adv 
18970,collie,/ˈkɑːli/,n, noun 
18971,tightrope,/ˈtaıtˌroʊp/,n, noun 
18972,smokestack,/ˈsmoʊkˌstæk/,n," adj 
 noun "
18973,Stalinist,,j,
18974,supplementation,/ˌsʌpləˌmɛnˈteıʃən/,n, noun 
18975,playback,/ˈpleıˌbæk/,n, noun 
18976,connectivity,,n,
18977,sneer,/ˈsniɚ/,n," adj 
 adv 
 noun 
 verb "
18978,disenchanted,"/ˌdısınˈʧæntəd, Brit ˌdısınˈʧɑːntəd/
/ˌdısınˈʧæntmənt, Brit ˌdısınˈʧɑːntmənt/",j," adj 
 noun "
18979,avail,/əˈveıl/,v," noun 
 verb "
18980,goodnight,,u, interj 
18981,artifice,/ˈɑɚtəfəs/,n, noun 
18982,goof,/ˈguːf/,v," noun 
 verb "
18983,untapped,/ˌʌnˈtæpt/,j, adj 
18984,collapsed,(= tube which carries blood in the body) ,j,
18985,prescient,"/ˈprɛʃijənt, Brit ˈprɛsiənt/",j," adj 
 adv "
18986,preservationist,/ˌprɛzɚˈveıʃənıst/,n, noun 
18987,haunch [PL],,n,
18988,captivating,,j, adj 
18989,windswept,/ˈwındˌswɛpt/,j, adj 
18990,long-term-care,,j,
18991,one-party,,j,
18992,franchisee,/ˌfrænˌʧaıˈziː/,n, noun 
18993,gaseous,/ˈgæʃəs/,j, adj 
18994,yo-yo,/ˈjoʊˌjoʊ/,n," noun 
 verb "
18995,puffing,,j,
18996,expectantly,,r, adv 
18997,storeroom,/ˈstoɚˌruːm/,n, noun 
18998,countenance,/ˈkaʊntn̩əns/,n," noun 
 verb "
18999,irritant,/ˈirətənt/,n, noun 
19000,untimely,/ˌʌnˈtaımli/,j, adj 
