rank,words,phonetic,coca_speech,WB_speech
15001,looter,,n, noun 
15002,worsening,"Main entry:
Main entry:",j,
15003,sovereign,/ˈsɑːvrən/,n," adj 
 noun "
15004,veiled,/ˈveıld/,j, adj 
15005,anonymously,,r, adv 
15006,tad,/ˈtæd/,n, noun 
15007,parenthood,/ˈperəntˌhʊd/,n, noun 
15008,scribe,/ˈskraıb/,n," noun 
 verb "
15009,chauffeur,"/ˈʃoʊfɚ, ʃoʊˈfɚ/",n," adj 
 noun 
 verb "
15010,hospitable,"/hɑˈspıtəbəl, ˈhɑːspıtəbəl/
/hɑˈspıtəbli, ˈhɑːspıtəbli/",j," adj 
 adv "
15011,brawl,/ˈbrɑːl/,n," noun 
 verb "
15012,smite,"/ˈsmaıt/
/ˈsmoʊt/
/ˈsmıtn̩/",v, verb 
15013,chi-square,,n,
15014,Federalist,"/ˈfɛdərəlıst/
/ˈfɛdərəˌlızəm/",j," adj 
 noun "
15015,booking,/ˈbʊkıŋ/,n, noun 
15016,hateful,/ˈheıtfəl/,j," adj 
 adv 
 noun "
15017,reigning,,j, adj 
15018,adrift,/əˈdrıft/,j, adj 
15019,passer,"/ˈpæsɚ, Brit ˈpɑːsə/",n, noun 
15020,backlog,/ˈbækˌlɑːg/,n, noun 
15021,self-portrait,/ˌsɛlfˈpoɚtrət/,n, noun 
15022,obedient,"/oʊˈbiːdijənt/
/oʊˈbiːdijəns/",j," adj 
 adv 
 noun "
15023,virulent,"/ˈvirələnt/
/ˈvirələns/",j," adj 
 adv 
 noun "
15024,subterranean,/ˌsʌbtəˈreınijən/,j, adj 
15025,meld,/ˈmɛld/,v," noun 
 verb "
15026,nationalistic,/ˌnæʃənəˈlıstık/,j, adj 
15027,trailing,,j, adj 
15028,daycare,,n, noun 
15029,prompt,/ˈprɑːmpt/,j," adj 
 adv 
 noun 
 verb "
15030,revitalization,"/riˌvaıtələˈzeıʃən, Brit riˌvaıtəˌlaıˈzeıʃən/",n, noun 
15031,choreography,"/ˌkoriˈɑːgrəfi/
/ˌkorijəˈgræfık/",n," adj 
 noun "
15032,tingle,"/ˈtıŋgəl/
/ˈtıŋgəli/",v," adj 
 noun 
 verb "
15033,switching,,j,
15034,distress,/dıˈstrɛs/,v," adj 
 adv 
 noun 
 verb "
15035,dung,/ˈdʌŋ/,n, noun 
15036,forsake,"/fɚˈseık/
/-ˈsʊk/
/-ˈseıkən/",v, verb 
15037,mozzarella,/ˌmɑːtsəˈrɛlə/,n, noun 
15038,drumming,,n,
15039,harmonic,"/hɑɚˈmɑːnık/
/hɑɚˈmɑːnıkli/",j," adj 
 adv "
15040,brood,/ˈbruːd/,n," noun 
 verb "
15041,sound,"/ˈsaʊnd/
/ˈsaʊndli/
/ˈsaʊndnəs/",r," adj 
 adv 
 noun 
 verb "
15042,fracture,/ˈfrækʧɚ/,v," noun 
 verb "
15043,punishing,,j, adj 
15044,parched,/ˈpɑɚʧt/,j, adj 
15045,causality,/kɑˈzæləti/,n, noun 
15046,woody,/ˈwʊdi/,j, adj 
15047,eyeglass [PL],,n,
15048,calling,/ˈkɑːlıŋ/,j, noun 
15049,displeasure,/dısˈplɛʒɚ/,n, noun 
15050,consummate,"/ˈkɑːnsəmət, kənˈsʌmət/
/ˈkɑːnsəˌmeıt/
/ˌkɑːnsəˈmeıʃən/",j," adj 
 adv 
 noun 
 verb "
15051,unorthodox,/ˌʌnˈoɚθəˌdɑːks/,j, adj 
15052,unwise,/ˌʌnˈwaız/,j," adj 
 adv "
15053,playmate,/ˈpleıˌmeıt/,n, noun 
15054,lawful,"/ˈlɑːfəl/
/ˈlɑːfəli/
/ˈlɑːfəlnəs/",j," adj 
 adv 
 noun "
15055,tarmac,"/ˈtɑɚˌmæk/
/ˈtɑɚˌmæk/",n, noun 
15056,readership,/ˈriːdɚˌʃıp/,n, noun 
15057,caseload,/ˈkeısˌloʊd/,n, noun 
15058,like-minded,/ˈlaıkˈmaındəd/,j," adj 
 noun "
15059,statehood,/ˈsteıtˌhʊd/,n, noun 
15060,conjecture,"/kənˈʤɛkʧɚ/
/kənˈʤɛkʧərəl/",n," adj 
 noun 
 verb "
15061,roaring,/ˈrorıŋ/,j," adj 
 adv "
15062,respecting,/rıˈspɛktıŋ/,i, prep 
15063,atypical,"/eıˈtıpıkəl/
/eıˈtıpıkli/",j," adj 
 adv "
15064,duffel,,n,
15065,seethe,/ˈsiːð/,v, verb 
15066,reek,/ˈriːk/,v, verb 
15067,whitetail,,n,
15068,contraption,/kənˈtræpʃən/,n, noun 
15069,starboard,/ˈstɑɚbɚd/,n," adj 
 noun "
15070,mistreat,"/ˌmısˈtriːt/
/ˌmısˈtriːtmənt/",v," noun 
 verb "
15071,case,/ˈkeıs/,v," noun 
 verb "
15072,palatable,"/ˈpælətəbəl/
/ˌpælətəˈbıləti/",j," adj 
 noun "
15073,undisclosed,/ˌʌndıˈskloʊzd/,j, adj 
15074,absently,,r, adv 
15075,barbarian,/bɑɚˈberijən/,n, noun 
15076,freighter,/ˈfreıtɚ/,n, noun 
15077,vestibule,/ˈvɛstəˌbjuːl/,n, noun 
15078,sear,/ˈsiɚ/,v, verb 
15079,hitch,/ˈhıʧ/,n," noun 
 verb "
15080,penthouse,/ˈpɛntˌhaʊs/,n, noun 
15081,bistro,/ˈbiːstroʊ/,n, noun 
15082,spurt,/ˈspɚt/,n," noun 
 verb "
15083,bog,"/ˈbɑːg/
/ˈbɑːgi/",v," adj 
 noun 
 verb "
15084,pretension,/prıˈtɛnʃən/,n, noun 
15085,bohemian,"/boʊˈhiːmijən/
/boʊˈhiːmijəˌnızəm/",j," adj 
 noun "
15086,squat,/ˈskwɑːt/,n," adj 
 noun 
 verb "
15087,extant,"/ˈɛkstənt, Brit ɛkˈstænt/",j, adj 
15088,zap,/ˈzæp/,v, verb 
15089,deviant,"/ˈdiːvijənt/
/ˈdiːvijəns/
/ˈdiːvijənsi/",j," adj 
 noun "
15090,adequacy,/ˈædıkwəsi/,n, noun 
15091,exquisitely,,r, adv 
15092,avian,/ˈeıvijən/,j, adj 
15093,resourceful,"/rıˈsoɚsfəl, Brit rıˈzɔːsfəl/",j," adj 
 adv 
 noun "
15094,cuddle,/ˈkʌdl̩/,v," noun 
 verb "
15095,connoisseur,"/ˌkɑːnəˈsɚ/
/ˌkɑːnəˈsɚˌʃıp/",n, noun 
15096,complacency,/kəmˈpleısn̩si/,n, noun 
15097,ethnography,"/ɛθˈnɑːgrəfi/
/ɛθˈnɑːgrəfɚ/
/ˌɛθnəˈgræfık/
/ˌɛθnəˈgræfıkli/",n," adj 
 adv 
 noun "
15098,netting,,n, noun 
15099,micro,,n,
15100,overthrow,"/ˌoʊvɚˈθroʊ/
/-ˈθruː/
/-ˈθroʊn/
/ˈoʊvɚˌθroʊ/",n," noun 
 verb "
