rank,words,phonetic,coca_speech,WB_speech
5601,modification,/ˌmɑːdəfəˈkeıʃən/,n, noun 
5602,goose,"/ˈguːs/
/ˈgiːs/",n," noun 
 verb "
5603,fireplace,/ˈfajɚˌpleıs/,n, noun 
5604,Caribbean,"/ˌkerəˈbiːjən, kəˈrıbijən/",j, adj 
5605,nurture,"/ˈnɚʧɚ/
/ˈnɚʧɚrɚ/",v," noun 
 verb "
5606,keyboard,/ˈkiːˌboɚd/,n," noun 
 verb "
5607,lobby,"/ˈlɑːbi/
/ˈlɑːbijıst/",v," noun 
 verb "
5608,formally,,r, adv 
5609,vivid,/ˈvıvəd/,j," adj 
 adv 
 noun "
5610,reserve,/rıˈzɚv/,j," noun 
 verb "
5611,frighten,/ˈfraıtn̩/,v," adj 
 adv 
 verb "
5612,frightening,,j, adj 
5613,furious,/ˈfjʊrijəs/,j," adj 
 adv "
5614,poison,"/ˈpoızn̩/
/ˈpoızn̩nɚ/",n," noun 
 verb "
5615,repeated,/rıˈpiːtəd/,j," adj 
 adv "
5616,daddy,/ˈdædi/,n, noun 
5617,ruler,/ˈruːlɚ/,n, noun 
5618,undoubtedly,,r, adv 
5619,rocky,/ˈrɑːki/,j, adj 
5620,amount,/əˈmaʊnt/,v," noun 
 verb "
5621,concrete,"/ˈkɑːnˌkriːt/
/kɑnˈkriːt/
/ˈkɑːnˌkriːt/",n," adj 
 adv 
 noun 
 verb "
5622,tenant,/ˈtɛnənt/,n, noun 
5623,total,/ˈtoʊtl̩/,v," adj 
 noun 
 verb "
5624,omit,/oʊˈmıt/,v, verb 
5625,round,"/ˈraʊnd/
/ˈraʊndnəs/",r," adj 
 adv 
 noun 
 prep 
 verb "
5626,grade,/ˈgreıd/,v," noun 
 verb "
5627,spider,/ˈspaıdɚ/,n, noun 
5628,obsession,"/ɑbˈsɛʃən/
/ɑbˈsɛʃənl̩/",n," adj 
 noun "
5629,corpse,/ˈkoɚps/,n, noun 
5630,damp,/ˈdæmp/,j," adj 
 noun 
 verb "
5631,Turkish,/ˈtɚkıʃ/,j," adj 
 noun "
5632,problematic,"/ˌprɑːbləˈmætık/
/ˌprɑːbləˈmætıkəl/",j, adj 
5633,certainty,/ˈsɚtn̩ti/,n, noun 
5634,unidentified,/ˌʌnaıˈdɛntəˌfaıd/,j, adj 
5635,nutrition,"/nʊˈtrıʃən, Brit njʊˈtrıʃən/
/nʊˈtrıʃənəl, Brit njʊˈtrıʃənəl/",n," adj 
 adv 
 noun "
5636,melody,/ˈmɛlədi/,n, noun 
5637,electron,/ıˈlɛkˌtrɑːn/,n, noun 
5638,physicist,/ˈfızəsıst/,n, noun 
5639,distinguished,/dıˈstıŋgwıʃt/,j, adj 
5640,vocabulary,"/voʊˈkæbjəˌleri, Brit vəʊˈkæbjələri/",n, noun 
5641,maple,/ˈmeıpəl/,n, noun 
5642,wool,/ˈwʊl/,n, noun 
5643,salesman,"/ˈseılzmən/
/-mən/",n, noun 
5644,memoir,/ˈmɛmˌwɑɚ/,n, noun 
5645,damn,/ˈdæm/,v," adj 
 adv 
 interj 
 noun 
 verb "
5646,utterly,,r, adv 
5647,cultivate,"/ˈkʌltəˌveıt/
/ˌkʌltəˈveıʃən/",v," noun 
 verb "
5648,microphone,/ˈmaıkrəˌfoʊn/,n, noun 
5649,cherry,/ˈʧeri/,n," adj 
 noun "
5650,luxury,/ˈlʌkʃəri/,j, noun 
5651,summarize,"/ˈsʌməˌraız/
/ˌsʌmərəˈzeıʃən, Brit ˌsʌməˌraıˈzeıʃən/",v," noun 
 verb "
5652,meadow,/ˈmɛdoʊ/,n, noun 
5653,goodbye,/gʊdˈbaı/,u," interj 
 noun "
5654,disposal,/dıˈspoʊzəl/,n, noun 
5655,magical,"/ˈmæʤıkəl/
/ˈmæʤıkli/",j," adj 
 adv "
5656,accordingly,/əˈkoɚdıŋli/,r, adv 
5657,defy,/dıˈfaı/,v, verb 
5658,stack,/ˈstæk/,v," noun 
 verb "
5659,plug,/ˈplʌg/,v," noun 
 verb "
5660,mining,/ˈmaınıŋ/,n, noun 
5661,wallet,/ˈwɑːlət/,n, noun 
5662,socialist,"/ˈsoʊʃəlıst/
/ˌsoʊʃəˈlıstık/",j," adj 
 noun "
5663,lamb,/ˈlæm/,n," noun 
 verb "
5664,scrap,/ˈskræp/,n," noun 
 verb "
5665,tempt,/ˈtɛmpt/,v, verb 
5666,fundamentally,/ˌfʌndəˈmɛntl̩i/,r, adv 
5667,wildly,/ˈwajəldli/,r, adv 
5668,declaration,/ˌdɛkləˈreıʃən/,n, noun 
5669,axis,"/ˈæksəs/
/ˈækˌsiːz/",n, noun 
5670,academy,/əˈkædəmi/,n, noun 
5671,applause,/əˈplɑːz/,n, noun 
5672,inject,"/ınˈʤɛkt/
/ınˈʤɛktɚ/",v," noun 
 verb "
