rank,words,phonetic,coca_speech,WB_speech
9301,anthrax,/ˈænˌθræks/,n, noun 
9302,leftist,/ˈlɛftıst/,n," adj 
 noun "
9303,mediator,/ˈmiːdiˌeıtɚ/,n, noun 
9304,trek,/ˈtrɛk/,n," noun 
 verb "
9305,gadget,/ˈgæʤət/,n, noun 
9306,stunt,/ˈstʌnt/,n," noun 
 verb "
9307,intuitive,"/ınˈtuːwətıv, Brit ınˈtjuːətıv/",j," adj 
 adv "
9308,caption,/ˈkæpʃən/,n," noun 
 verb "
9309,fortress,"/ˈfoɚtrəs/
/ˈfoɚtrəsˌlaık/",n," adj 
 noun "
9310,alcoholism,/ˈælkəˌhɑːˌlızəm/,n, noun 
9311,augment,"/ɑgˈmɛnt/
/ˌɑːgmənˈteıʃən/",v," noun 
 verb "
9312,racer,/ˈreısɚ/,n, noun 
9313,nuance,"/ˈnuːˌɑːns, Brit ˈnjuːˌɑːns/
/ˈnuːˌɑːnst, Brit ˈnjuːˌɑːnst/",n," adj 
 noun "
9314,lifting,,n,
9315,wisely,,r, adv 
9316,devastation,/ˌdɛvəˈsteıʃən/,n, noun 
9317,safeguard,/ˈseıfˌgɑɚd/,v," noun 
 verb "
9318,blaze,/ˈbleız/,n," noun 
 verb "
9319,undercut,/ˌʌndɚˈkʌt/,v, verb 
9320,touching,/ˈtʌʧıŋ/,j," adj 
 adv "
9321,shun,/ˈʃʌn/,v, verb 
9322,coordinate,"/koʊˈoɚdəˌneıt/
/koʊˈoɚdənət/",n," adj 
 noun 
 verb "
9323,binding,/ˈbaındıŋ/,j," adj 
 noun "
9324,eradicate,"/ıˈrædəˌkeıt/
/ıˌrædəˈkeıʃən/",v," noun 
 verb "
9325,underwater,/ˌʌndɚˈwɑːtɚ/,j," adj 
 adv "
9326,malaria,"/məˈlerijə/
/məˈlerijəl/",n," adj 
 noun "
9327,displacement,/dıˈspleısmənt/,n, noun 
9328,scam,"/ˈskæm/
/ˈskæm/",n," noun 
 verb "
9329,interdisciplinary,/ˌıntɚˈdısəpləˌneri/,j, adj 
9330,crossroads,,n,
9331,fallout,/ˈfɑːlˌaʊt/,n, noun 
9332,horrific,/hoɚˈrıfık/,j," adj 
 adv "
9333,larva,"/ˈlɑɚvə/
/ˈlɑɚˌviː/
/ˈlɑɚvəl/",n," adj 
 noun "
9334,raising,,n,
9335,blur,"/ˈblɚ/
/ˈblɚri/",n," adj 
 noun 
 verb "
9336,rapper,/ˈræpɚ/,n, noun 
9337,cartridge,/ˈkɑɚtrıʤ/,n, noun 
9338,heed,/ˈhiːd/,v," noun 
 verb "
9339,allergic,/əˈlɚʤık/,j, adj 
9340,lurch,/ˈlɚʧ/,v," noun 
 verb "
9341,insulin,"/ˈınsələn, Brit ˈınsjʊlən/",n, noun 
9342,midday,/ˈmıdˌdeı/,n, noun 
9343,one-year,,j,
9344,comb,/ˈkoʊm/,n," noun 
 verb "
9345,barber,/ˈbɑɚbɚ/,n, noun 
9346,unsafe,/ˌʌnˈseıf/,j," adj 
 adv "
9347,last-minute,,j, adj 
9348,Indonesian,,j,
9349,scant,/ˈskænt/,j, adj 
9350,rocker,/ˈrɑːkɚ/,n, noun 
9351,liken,/ˈlaıkən/,v, verb 
9352,gamble,"/ˈgæmbəl/
/ˈgæmblɚ/",v," noun 
 verb "
9353,licensed,,j, adj 
9354,console,"/kənˈsoʊl/
/ˈkɑːnˌsoʊl/",v," adj 
 noun 
 verb "
9355,Arabic,/ˈerəbık/,n," adj 
 noun "
9356,adjacent,/əˈʤeısn̩t/,i, adj 
9357,reaffirm,"/ˌriːjəˈfɚm/
/riˌæfɚˈmeıʃən/",v," noun 
 verb "
9358,flea,/ˈfliː/,n, noun 
9359,brisk,/ˈbrısk/,j," adj 
 adv 
 noun "
9360,heave,/ˈhiːv/,v," noun 
 verb "
9361,solemn,/ˈsɑːləm/,j," adj 
 adv "
9362,scar,/ˈskɑɚ/,v," noun 
 verb "
9363,jumper,/ˈʤʌmpɚ/,n, noun 
9364,glaze,/ˈgleız/,n," noun 
 verb "
9365,bounty,/ˈbaʊnti/,n, noun 
9366,cramped,,j, adj 
9367,concur,/kənˈkɚ/,v, verb 
9368,fatty,/ˈfæti/,j," adj 
 noun "
9369,avoidance,/əˈvoıdn̩s/,n, noun 
9370,open-ended,/ˌoʊpənˈɛndəd/,j, adj 
9371,authoritative,/əˈθorəˌteıtıv/,j," adj 
 adv "
9372,coma,/ˈkoʊmə/,n, noun 
9373,hymn,/ˈhım/,n, noun 
9374,Finn,/ˈfın/,n, noun 
9375,tolerant,/ˈtɑːlərənt/,j," adj 
 adv "
9376,irritation,/ˌirəˈteıʃən/,n, noun 
9377,ostensibly,/ɑˈstɛnsəbli/,r, adv 
9378,capitalist,"/ˈkæpətəlıst/
/ˌkæpətəˈlıstık/",n," adj 
 noun "
9379,hound,/ˈhaʊnd/,n," noun 
 verb "
9380,blindness,,n, noun 
9381,livelihood,/ˈlaıvliˌhʊd/,n, noun 
9382,chemist,/ˈkɛmıst/,n, noun 
9383,after,"/ˈæftɚ, Brit ˈɑːftə/",r," adj 
 adv 
 conj 
 prep "
9384,dread,/ˈdrɛd/,n," adj 
 noun 
 verb "
9385,camper,/ˈkæmpɚ/,n, noun 
9386,disregard,/ˌdısrıˈgɑɚd/,v," noun 
 verb "
9387,rainfall,/ˈreınˌfɑːl/,n, noun 
9388,paddle,/ˈpædl̩/,v," noun 
 verb "
9389,cranberry,"/ˈkrænˌberi, Brit ˈkrænbəri/",n," adj 
 noun "
9390,crib,/ˈkrıb/,n," noun 
 verb "
9391,freak,/ˈfriːk/,n," adj 
 noun 
 verb "
9392,gala,"/ˈgeılə, Brit ˈgɑːlə/",n, noun 
9393,inflammation,/ˌınfləˈmeıʃən/,n, noun 
9394,outnumber,/ˌaʊtˈnʌmbɚ/,v, verb 
9395,syllable,/ˈsıləbəl/,n, noun 
9396,per,/ˈpɚ/,j, prep 
9397,inscribe,/ınˈskraıb/,v, verb 
9398,deprivation,/ˌdɛprəˈveıʃən/,n, noun 
9399,revealing,/rıˈviːlıŋ/,j," adj 
 adv "
9400,proxy,/ˈprɑːksi/,n," adj 
 noun "
