rank,words,phonetic,coca_speech,WB_speech
1401,threaten,"/ˈθrɛtn̩/
/ˈθrɛtn̩ıŋ/
/ˈθrɛtn̩ıŋli/",v," adj 
 adv 
 verb "
1402,commit,/kəˈmıt/,v, verb 
1403,female,/ˈfiːˌmeıl/,j," adj 
 noun "
1404,youth,"/ˈjuːθ/
/ˈjuːðz/",n, noun 
1405,wave,"/ˈweıv/
/ˈweıvˌlaık/",n," adj 
 noun 
 verb "
1406,move,/ˈmuːv/,n," noun 
 verb "
1407,afraid,/əˈfreıd/,j, adj 
1408,quarter,/ˈkwoɚtɚ/,n," adj 
 noun 
 verb "
1409,background,/ˈbækˌgraʊnd/,n, noun 
1410,native,/ˈneıtıv/,j," adj 
 noun "
1411,broad,/ˈbrɑːd/,j," adj 
 adv 
 noun "
1412,wonderful,/ˈwʌndɚfəl/,j," adj 
 adv "
1413,deny,/dıˈnaı/,v, verb 
1414,apparently,/əˈperəntli/,r, adv 
1415,slightly,/ˈslaıtli/,r, adv 
1416,reaction,/riˈækʃən/,n, noun 
1417,twice,/ˈtwaıs/,r, adv 
1418,suit,/ˈsuːt/,n," noun 
 verb "
1419,perspective,/pɚˈspɛktıv/,n, noun 
1420,growing,,j, adj 
1421,blow,"/ˈbloʊ/
/ˈbluː/
/ˈbloʊn/",v," noun 
 verb "
1422,construction,/kənˈstrʌkʃən/,n, noun 
1423,kind,/ˈkaınd/,r," adj 
 noun "
1424,intelligence,/ınˈtɛləʤəns/,n, noun 
1425,destroy,/dıˈstroı/,v, verb 
1426,cook,/ˈkʊk/,v," noun 
 verb "
1427,connection,/kəˈnɛkʃən/,n, noun 
1428,charge,/ˈʧɑɚʤ/,v," noun 
 verb "
1429,burn,"/ˈbɚn/
/ˈbɚnd/
/ˈbɚnt/
/ˈbɚnəbəl/",v," adj 
 noun 
 verb "
1430,shoe,"/ˈʃuː/
/ˈʃɑːd/
/ˈʃuːd/
/ˈʃuːwıŋ/",n," noun 
 verb "
1431,view,"/ˈvjuː/
/ˈvjuːwıŋ/",v," noun 
 verb "
1432,grade,/ˈgreıd/,n," noun 
 verb "
1433,context,"/ˈkɑːnˌtɛkst/
/kɑnˈtɛksʧəwəl/",n," adj 
 adv 
 noun "
1434,committee,/kəˈmıti/,n, noun 
1435,hey,/ˈheı/,u, interj 
1436,mistake,"/məˈsteık/
/məˈstʊk/
/məˈsteıkən/",n," noun 
 verb "
1437,focus,"/ˈfoʊkəs/
/ˈfoʊˌsaı/",n," noun 
 verb "
1438,smile,/ˈsmajəl/,n," noun 
 verb "
1439,location,/loʊˈkeıʃən/,n, noun 
1440,clothes (PL),,n,
1441,Indian,/ˈındijən/,j," adj 
 noun "
1442,quiet,/ˈkwajət/,j," adj 
 adv 
 noun 
 verb "
1443,dress,/ˈdrɛs/,v," adj 
 noun 
 verb "
1444,promise,/ˈprɑːməs/,v," noun 
 verb "
1445,aware,/əˈweɚ/,j," adj 
 noun "
1446,neighbor,/ˈneıbɚ/,n, noun 
1447,complete,/kəmˈpliːt/,j," adj 
 adv 
 noun 
 verb "
1448,drive,"/ˈdraıv/
/ˈdroʊv/
/ˈdrıvən/",n," noun 
 verb "
1449,function,/ˈfʌŋkʃən/,n," noun 
 verb "
1450,bone,"/ˈboʊn/
/ˈboʊnləs/",n," adj 
 adv 
 noun 
 verb "
1451,active,/ˈæktıv/,j," adj 
 adv "
1452,extend,"/ıkˈstɛnd/
/ıkˈstɛndəbəl/
/ıkˈstɛndɚ/",v," adj 
 noun 
 verb "
1453,chief,/ˈʧiːf/,j," adj 
 noun "
1454,average,/ˈævrıʤ/,n," adj 
 noun 
 verb "
1455,combine,"/kəmˈbaın/
/ˈkɑːmˌbaın/",v," noun 
 verb "
1456,wine,/ˈwaın/,n," noun 
 verb "
1457,below,/bıˈloʊ/,r," adv 
 prep "
1458,cool,"/ˈkuːl/
/ˈkuːlıʃ/",j," adj 
 adv 
 noun 
 verb "
1459,voter,/ˈvoʊtɚ/,n, noun 
1460,mean [PL],,n,
1461,demand,"/dıˈmænd, Brit dıˈmɑːnd/",v," noun 
 verb "
1462,learning,/ˈlɚnıŋ/,n, noun 
1463,bus,/ˈbʌs/,n," noun 
 verb "
1464,hell,/ˈhɛl/,n, noun 
1465,dangerous,/ˈdeınʤərəs/,j," adj 
 adv 
 noun "
1466,remind,/rıˈmaınd/,v, verb 
1467,moral,/ˈmorəl/,j," adj 
 noun "
1468,United,,j, adj 
1469,category,"/ˈkætəˌgori, Brit ˈkætəgri/",n, noun 
1470,relatively,/ˈrɛlətıvli/,r, adv 
1471,victory,/ˈvıktəri/,n, noun 
1472,key,/ˈkiː/,n," adj 
 noun 
 verb "
1473,academic,"/ˌækəˈdɛmık/
/ˌækəˈdɛmıkli/",j," adj 
 adv 
 noun "
1474,visit,/ˈvızət/,n," noun 
 verb "
1475,Internet,,n,
1476,healthy,"/ˈhɛlθi/
/ˈhɛlθəli/
/ˈhɛlθinəs/",j," adj 
 adv 
 noun "
1477,fire,/ˈfajɚ/,v," noun 
 verb "
1478,negative,/ˈnɛgətıv/,j," adj 
 adv 
 noun "
1479,following,/ˈfɑːləwıŋ/,j," adj 
 noun 
 prep 
 pronoun "
1480,historical,"/hıˈstorıkəl/
/hıˈstorıkli/",j," adj 
 adv "
1481,medicine,"/ˈmɛdəsən, Brit ˈmɛdsən/",n, noun 
1482,tour,/ˈtuɚ/,n," noun 
 verb "
1483,depend,/dıˈpɛnd/,v, verb 
1484,photo,/ˈfoʊtoʊ/,n, noun 
1485,finding,/ˈfaındıŋ/,n, noun 
1486,grab,/ˈgræb/,v," noun 
 verb "
1487,direct,/dəˈrɛkt/,j," adj 
 adv 
 verb "
1488,classroom,"/ˈklæsˌruːm, Brit ˈklɑːsˌruːm/",n, noun 
1489,contact,/ˈkɑːnˌtækt/,n," adj 
 noun 
 verb "
1490,justice,/ˈʤʌstəs/,n, noun 
1491,participate,"/pɑɚˈtısəˌpeıt/
/pɑɚˌtısəˈpeıʃən/",v," noun 
 verb "
1492,daily,/ˈdeıli/,j," adj 
 adv 
 noun "
1493,fair,/ˈfeɚ/,j," adj 
 adv 
 noun "
1494,pair,/ˈpeɚ/,n," noun 
 verb "
1495,famous,/ˈfeıməs/,j, adj 
1496,exercise,/ˈɛksɚˌsaız/,n," noun 
 verb "
1497,knee,/ˈniː/,n," noun 
 verb "
1498,flower,/ˈflawɚ/,n," noun 
 verb "
1499,tape,/ˈteıp/,n," noun 
 verb "
1500,hire,/ˈhajɚ/,v," noun 
 verb "
