rank,words,phonetic,coca_speech,WB_speech
9101,envy,/ˈɛnvi/,v," noun 
 verb "
9102,make,"/ˈmeık/
/ˈmeıd/",n," noun 
 verb "
9103,wail,/ˈweıl/,v," noun 
 verb "
9104,surrogate,/ˈsɚrəgət/,n," adj 
 noun "
9105,disadvantaged,/ˌdısədˈvæntıʤd/,j, adj 
9106,boot,/ˈbuːt/,v," noun 
 verb "
9107,punitive,/ˈpjuːnətıv/,j," adj 
 adv "
9108,storytelling,/ˈstoriˌtɛlıŋ/,n, noun 
9109,blender,/ˈblɛndɚ/,n, noun 
9110,helper,/ˈhɛlpɚ/,n, noun 
9111,yearly,/ˈjiɚli/,j," adj 
 adv "
9112,misconduct,/mısˈkɑːndəkt/,n, noun 
9113,shepherd,/ˈʃɛpɚd/,n," noun 
 verb "
9114,scissors [PL],,n,
9115,elder,/ˈɛldɚ/,j," adj 
 noun "
9116,anecdote,"/ˈænıkˌdoʊt/
/ˌænıkˈdoʊtl̩/",n," adj 
 adv 
 noun "
9117,sophistication,/səˌfıstəˈkeıʃən/,n, noun 
9118,token,/ˈtoʊkən/,n," adj 
 noun "
9119,admittedly,/ədˈmıtədli/,r, adv 
9120,co-op,/ˈkoʊˌɑːp/,n, noun 
9121,negotiating,,n,
9122,boom,/ˈbuːm/,v," noun 
 verb "
9123,soybean,/ˈsoıˌbiːn/,n, noun 
9124,dismissal,/dısˈmısəl/,n, noun 
9125,autograph,"/ˈɑːtəˌgræf, Brit ˈɔːtəˌgrɑːf/",n," adj 
 noun 
 verb "
9126,plywood,/ˈplaıˌwʊd/,n, noun 
9127,apparel,/əˈperəl/,n, noun 
9128,tense,/ˈtɛns/,v," adj 
 adv 
 noun 
 verb "
9129,contentious,/kənˈtɛnʃəs/,j," adj 
 adv 
 noun "
9130,accomplished,,j, adj 
9131,frail,/ˈfreıl/,j," adj 
 noun "
9132,trumpet,/ˈtrʌmpət/,n," noun 
 verb "
9133,entree,,n,
9134,wreck,/ˈrɛk/,v," noun 
 verb "
9135,high-end,/ˈhaıˈɛnd/,j, adj 
9136,orchestrate,"/ˈoɚkəˌstreıt/
/ˌoɚkəˈstreıʃən/",v," noun 
 verb "
9137,rash,/ˈræʃ/,n," adj 
 adv 
 noun "
9138,disgusting,/dıˈskʌstıŋli/,j," adj 
 adv "
9139,fucking,/ˈfʌkıŋ/,r," adj 
 adv "
9140,universally,,r, adv 
9141,box,/ˈbɑːks/,v," noun 
 verb "
9142,participating,,j,
9143,jack,/ˈʤæk/,n," noun 
 verb "
9144,brace,/ˈbreıs/,n," noun 
 verb "
9145,hone,/ˈhoʊn/,v, verb 
9146,gunshot,/ˈgʌnˌʃɑːt/,n, noun 
9147,congestion,/kənˈʤɛsʧən/,n, noun 
9148,verb,/ˈvɚb/,n, noun 
9149,continental,/ˌkɑːntəˈnɛntl̩/,j," adj 
 noun "
9150,sever,/ˈsɛvɚ/,v, verb 
9151,indispensable,"/ˌındıˈspɛnsəbəl/
/ˌındıˌspɛnsəˈbıləti/",j," adj 
 noun "
