rank,words,phonetic,coca_speech,WB_speech
10101,imprisonment,/ımˈprızn̩mənt/,n, noun 
10102,gothic,/ˈgɑːθık/,j, adj 
10103,tidy,/ˈtaıdi/,j," adj 
 noun 
 verb "
10104,hard-core,/ˈhɑɚdˈkoɚ/,j, adj 
10105,revel,/ˈrɛvəl/,v," noun 
 verb "
10106,humorous,/ˈhjuːmərəs/,j," adj 
 adv "
10107,blackness,,n, noun 
10108,impaired,/ımˈpeɚd/,j, adj 
10109,vista,/ˈvıstə/,n, noun 
10110,melon,/ˈmɛlən/,n, noun 
10111,shade,/ˈʃeıd/,v," adj 
 noun 
 verb "
10112,lagoon,/ləˈguːn/,n, noun 
10113,worn,,j,
10114,unavailable,"/ˌʌnəˈveıləbəl/
/ˌʌnəˌveıləˈbıləti/",j," adj 
 noun "
10115,dysfunctional,/dısˈfʌŋkʃənl̩/,j, adj 
10116,forgotten,,j,
10117,buyout,/ˈbaıˌaʊt/,n, noun 
10118,scorer,/ˈskorɚ/,n, noun 
10119,temper,/ˈtɛmpɚ/,v," noun 
 verb "
10120,unmistakable,"/ˌʌnməˈsteıkəbəl/
/ˌʌnməˈsteıkəbli/",j," adj 
 adv "
10121,divisive,/dəˈvaısıv/,j," adj 
 noun "
10122,alcoholic,"/ˌælkəˈhɑːlık/
/ˌælkəˈhɑːlıkli/",j," adj 
 adv 
 noun "
10123,sensational,/sɛnˈseıʃənl̩/,j," adj 
 adv "
10124,soundtrack,/ˈsaʊndˌtræk/,n, noun 
10125,beware,/bıˈweɚ/,v, verb 
10126,condominium,/ˌkɑːndəˈmınijəm/,n, noun 
10127,pertinent,"/ˈpɚtənənt/
/ˈpɚtənəns/",j," adj 
 adv 
 noun "
10128,wrath,"/ˈræθ, Brit ˈrɒθ/
/ˈræθfəl, Brit ˈrɒθfəl/",n," adj 
 noun "
10129,shimmering,,j,
10130,decor,"/deıˈkoɚ, ˈdeıˌkoɚ/",n, noun 
10131,wiring,,n, noun 
10132,charm,/ˈʧɑɚm/,v," adj 
 noun 
 verb "
10133,insofar,,c,
10134,presumption,/prıˈzʌmpʃən/,n, noun 
10135,smoky,"/ˈsmoʊki/
/ˈsmoʊkinəs/",j," adj 
 noun "
10136,usefulness,,n, noun 
10137,videotape,/ˈvıdijoʊˌteıp/,v," noun 
 verb "
10138,unanswered,/ˌʌnˈænsɚd/,j, adj 
10139,vocation,/voʊˈkeıʃən/,n, noun 
10140,bullshit,/ˈbʊlˌʃıt/,n," noun 
 verb "
10141,pulpit,/ˈpʊlˌpıt/,n, noun 
10142,downplay,/ˈdaʊnˌpleı/,v, verb 
10143,vineyard,/ˈvınjɚd/,n, noun 
