rank,words,phonetic,coca_speech,WB_speech
14001,defined,,j, adj 
14002,wafer,/ˈweıfɚ/,n, noun 
14003,fiancee,,n,
14004,knot,/ˈnɑːt/,v," noun 
 verb "
14005,mellow,/ˈmɛloʊ/,j," adj 
 noun 
 verb "
14006,vowel,/ˈvawəl/,n, noun 
14007,hawk,"/ˈhɑːk/
/ˈhɑːkıʃ/",v," adj 
 noun 
 verb "
14008,saturation,/ˌsæʧəˈreıʃən/,n, noun 
14009,forbidding,,j," adj 
 adv "
14010,chunky,/ˈʧʌŋki/,j, adj 
14011,brash,/ˈbræʃ/,j," adj 
 adv 
 noun "
14012,Swede,"/ˈswiːd/
/ˈswiːd/",n, noun 
14013,fed,/ˈfɛd/,n, noun 
14014,lite,/ˈlaıt/,j, adj 
14015,automation,/ˌɑːtəˈmeıʃən/,n, noun 
14016,vile,/ˈvajəl/,j," adj 
 adv 
 noun "
14017,veterinary,"/ˈvɛtərəˌneri, Brit ˈvɛtn̩ri/",j, adj 
14018,smirk,/ˈsmɚk/,v," noun 
 verb "
14019,fanciful,"/ˈfænsıfəl/
/ˈfænsıfli/",j," adj 
 adv "
14020,brave,/ˈbreıv/,v," adj 
 adv 
 noun 
 verb "
14021,aching,,j,
14022,plethora,/ˈplɛθərə/,n, noun 
14023,tax-free,,j, adj 
14024,anatomical,"/ˌænəˈtɑːmıkəɬ/
/ˌænəˈtɑːmık/",j, adj 
14025,weaver,/ˈwiːvɚ/,n, noun 
14026,melancholy,/ˈmɛlənˌkɑːli/,n," adj 
 noun "
14027,condolence [PL],,n,
14028,old-time,/ˈoʊldˈtaım/,j, adj 
14029,attractiveness,,n, noun 
14030,delinquent,/dıˈlıŋkwənt/,j," adj 
 noun "
14031,bathrobe,"/ˈbæθˌroʊb, Brit ˈbɑːθˌrəʊb/",n, noun 
14032,blackberry,/ˈblækˌberi/,n, noun 
14033,porous,"/ˈporəs/
/pəˈrɑːsəti/",j," adj 
 noun "
14034,partisanship,"/ˈpɑɚtɚzənˌʃıp, Brit ˌpɑːtəˈzænʃıp/",n, noun 
14035,choreographer,/ˌkoriˈɑːgrəfɚ/,n, noun 
14036,malice,/ˈmæləs/,n, noun 
