rank,words,phonetic,coca_speech,WB_speech
3401,indication,/ˌındəˈkeıʃən/,n, noun 
3402,rail,/ˈreıl/,n," adj 
 noun 
 verb "
3403,anniversary,/ˌænəˈvɚsəri/,n, noun 
3404,couch,/ˈkaʊʧ/,n," noun 
 verb "
3405,alliance,/əˈlajəns/,n, noun 
3406,hypothesis,"/ˌhaıˈpɑːθəsəs/
/-əˌsiːz/",n, noun 
3407,boyfriend,/ˈboıˌfrɛnd/,n, noun 
3408,compose,/kəmˈpoʊz/,v, verb 
3409,peer,/ˈpiɚ/,v," noun 
 verb "
3410,mess,/ˈmɛs/,n," noun 
 verb "
3411,rank,/ˈræŋk/,v," adj 
 noun 
 verb "
3412,legend,/ˈlɛʤənd/,n, noun 
3413,regulate,/ˈrɛgjəˌleıt/,v, verb 
3414,adolescent,/ˌædəˈlɛsn̩t/,n," adj 
 noun "
3415,shine,"/ˈʃaın/
/ˈʃoʊn, Brit ˈʃɒn/",v," noun 
 verb "
3416,norm,/ˈnoɚm/,n, noun 
3417,upset,"/ˌʌpˈsɛt/
/ˌʌpˈsɛt/
/ˈʌpˌsɛt/",v," adj 
 noun 
 verb "
3418,remark,/rıˈmɑɚk/,n," noun 
 verb "
3419,resign,/rıˈzaın/,v, verb 
3420,reward,/rıˈwoɚd/,n," noun 
 verb "
3421,gentle,"/ˈʤɛntl̩/
/ˈʤɛntlɚ/
/ˈʤɛntləst/
/ˈʤɛntl̩nəs/
/ˈʤɛntli/",j," adj 
 adv 
 noun "
3422,related,,j, adj 
3423,organ,/ˈoɚgən/,n, noun 
3424,lightly,/ˈlaıtli/,r, adv 
3425,concerning,,i, prep 
3426,invent,"/ınˈvɛnt/
/ınˈvɛntɚ/",v," noun 
 verb "
3427,laughter,"/ˈlæftɚ, Brit ˈlɑːftɚ/",n, noun 
3428,fit,"/ˈfıt/
/ˈfıɾɚ/",j," adj 
 noun 
 verb "
3429,northwest,/noɚθˈwɛst/,n," adj 
 adv 
 noun "
3430,counseling,,n, noun 
3431,tight,/ˈtaıt/,r," adj 
 adv 
 noun "
3432,receiver,/rıˈsiːvɚ/,n, noun 
3433,ritual,/ˈrıʧəwəl/,n," adj 
 adv 
 noun "
3434,insect,/ˈınˌsɛkt/,n, noun 
3435,interrupt,"/ˌıntəˈrʌpt/
/ˌıntəˈrʌpʃən/",v," noun 
 verb "
3436,salmon,/ˈsæmən/,n, noun 
3437,favor,/ˈfeıvɚ/,n," noun 
 verb "
3438,trading,,n, noun 
3439,concern,/kənˈsɚn/,v," noun 
 verb "
3440,magic,/ˈmæʤık/,j," adj 
 noun "
3441,superior,/sʊˈpirijɚ/,j," adj 
 noun "
3442,combat,"/ˈkɑːmˌbæt/
/kəmˈbæt/",n," noun 
 verb "
3443,stem,"/ˈstɛm/
/ˈstɛmləs/",n," adj 
 noun 
 verb "
3444,surgeon,/ˈsɚʤən/,n, noun 
3445,acceptable,"/ıkˈsɛptəbəɬ/
/ıkˌsɛptəˈbıləti/
/ıkˈsɛptəbli/",j," adj 
 adv 
 noun "
3446,physics,/ˈfızıks/,n, noun 
3447,rape,/ˈreıp/,n," noun 
 verb "
3448,counsel,/ˈkaʊnsəl/,n," noun 
 verb "
3449,brush,/ˈbrʌʃ/,n," noun 
 verb "
3450,jeans (PL),,n,
3451,hunt,/ˈhʌnt/,v," noun 
 verb "
3452,continuous,/kənˈtınjuwəs/,j," adj 
 adv "
3453,log,/ˈlɑːg/,n," noun 
 verb "
3454,echo,/ˈɛkoʊ/,v," noun 
 verb "
3455,pill,/ˈpıl/,n," noun 
 verb "
3456,excited,,j," adj 
 adv "
3457,sculpture,"/ˈskʌlpʧɚ/
/ˈskʌlpʧərəl/",n," adj 
 noun "
3458,compound,"/ˈkɑːmˌpaund/
/kɑːmˈpaʊnd/
/ˈkɑːmˌpaʊnd/
/ˈkɑːmˌpaʊnd/",n," adj 
 noun 
 verb "
3459,integrate,"/ˈıntəˌgreıt/
/ˌıntəˈgreıʃən/",v," noun 
 verb "
3460,flour,"/ˈflawɚ/
/ˈflaʊɚləs/",n," adj 
 noun 
 verb "
3461,bitter,/ˈbıtɚ/,j," adj 
 adv 
 noun "
3462,bare,/ˈbeɚ/,j," adj 
 noun 
 verb "
3463,slope,/ˈsloʊp/,n," noun 
 verb "
3464,rent,"/ˈrɛnt/
/ˈrɛntəbəl/",v," adj 
 noun 
 verb "
3465,presidency,/ˈprɛzədənsi/,n, noun 
3466,serving,,n," adj 
 noun "
3467,subtle,"/ˈsʌtl̩/
/ˈsʌtl̩i/",j," adj 
 adv "
3468,greatly,/ˈgreıtli/,r, adv 
3469,bishop,/ˈbıʃəp/,n, noun 
3470,drinking,,n, noun 
3471,delay,/dıˈleı/,v," adj 
 noun 
 verb "
3472,cry,/ˈkraı/,n," noun 
 verb "
3473,acceptance,/ıkˈsɛptəns/,n, noun 
3474,collapse,"/kəˈlæps/
/kəˈlæpsəbəl/",n," adj 
 noun 
 verb "
3475,shop,"/ˈʃɑːp/
/ˈʃɑːpɚ/",v," noun 
 verb "
3476,pump,/ˈpʌmp/,n," noun 
 verb "
