rank,words,phonetic,coca_speech,WB_speech
12101,baffle,"/ˈbæfəl/
/ˈbæfəlmənt/
/ˈbæflıŋli/",v," adj 
 adv 
 noun 
 verb "
12102,bye-bye,/ˈbaıˌbaı/,u, interj 
12103,alloy,"/ˈæˌloı/
/əˈloı/",n," noun 
 verb "
12104,populace,/ˈpɑːpjələs/,n, noun 
12105,formative,/ˈfoɚmətıv/,j, adj 
12106,dogma,/ˈdɑːgmə/,n, noun 
12107,breaker,/ˈbreıkɚ/,n, noun 
12108,policy-making,,n,
12109,horrendous,/həˈrɛndəs/,j," adj 
 adv "
12110,lug,/ˈlʌg/,v," noun 
 verb "
12111,adjunct,/ˈæˌʤʌŋkt/,n," adj 
 noun "
12112,densely,,r, adv 
12113,existential,,j,
12114,coarsely,,r, adv 
12115,articulate,"/ɑɚˈtıkjələt/
/ɑɚˈtıkjəˌleıt/",j," adj 
 adv 
 noun 
 verb "
12116,elastic,"/ıˈlæstık/
/ıˌlæsˈtısəti/",j," adj 
 noun "
12117,befriend,/bıˈfrɛnd/,v, verb 
12118,pavilion,/pəˈvıljən/,n, noun 
12119,ore,/ˈoɚ/,n, noun 
12120,midwife,"/ˈmıdˌwaıf/
/-ˌwaıvz/
/ˌmıdˈwıfəri/",n, noun 
12121,bandit,"/ˈbændət/
/ˈbændətri/",n, noun 
12122,loose,/ˈluːs/,v," adj 
 adv 
 noun 
 verb "
12123,nutmeg,/ˈnʌtˌmɛg/,n, noun 
12124,heroism,/ˈherəˌwızəm/,n, noun 
12125,bullying,,n, noun 
12126,protrude,/proʊˈtruːd/,v," adj 
 verb "
12127,breast-feeding,Main entry:,n,
12128,ruined,,j, adj 
12129,feasibility,/ˌfiːzəˈbıləti/,n, noun 
12130,optimist,/ˈɑːptəmıst/,n, noun 
12131,doorbell,/ˈdoɚˌbɛl/,n, noun 
12132,crumple,/ˈkrʌmpəl/,v, verb 
12133,moody,"/ˈmuːdi/
/ˈmuːdəli/
/ˈmuːdinəs/",j," adj 
 adv 
 noun "
12134,behaviour,,n,
12135,teamwork,/ˈtiːmˌwɚk/,n, noun 
12136,handbag,/ˈhændˌbæg/,n, noun 
12137,saddle,/ˈsædl̩/,v," noun 
 verb "
12138,turning,/ˈtɚnıŋ/,j, noun 
12139,wretched,/ˈrɛʧəd/,j," adj 
 adv 
 noun "
12140,guidebook,/ˈgaıdˌbʊk/,n, noun 
12141,mischief,/ˈmısʧəf/,n, noun 
12142,cool,"/ˈkuːl/
/ˈkuːlıʃ/",r," adj 
 adv 
 noun 
 verb "
12143,wanted,,j,
12144,exhale,"/eksˈheıl/
/ˌɛkshəˈleıʃən/",v," noun 
 verb "
12145,fray,/ˈfreı/,n," noun 
 verb "
12146,dislike,/dısˈlaık/,n," noun 
 verb "
12147,manhood,/ˈmænˌhʊd/,n, noun 
12148,childish,/ˈʧaıldıʃ/,j," adj 
 adv 
 noun "
12149,RBI,/ˌɑɚbiˈaı/,n, noun 
12150,discretionary,"/dıˈskrɛʃəˌneri, Brit dıˈskrɛʃənri/",j, adj 
12151,connecting,,j, adj 
12152,generational,/ˌʤɛnəˈreıʃənəl/,j," adj 
 adv "
12153,oval,/ˈoʊvəl/,n," adj 
 noun "
12154,attrition,/əˈtrıʃən/,n, noun 
12155,workload,/ˈwɚkˌloʊd/,n, noun 
12156,taker,/ˈteıkɚ/,n, noun 
12157,prelude,/ˈprɛlˌjuːd/,n, noun 
12158,gingerly,/ˈʤınʤɚli/,r, adv 
12159,GNP,,n,
12160,waft,/ˈwɑːft/,v," noun 
 verb "
12161,unprotected,/ˌʌnprəˈtɛktəd/,j, adj 
12162,pellet,/ˈpɛlət/,n, noun 
12163,forbidden,,j, adj 
12164,helium,/ˈhiːlijəm/,n, noun 
12165,dissect,"/daıˈsɛkt, dıˈsɛkt/
/daıˈsɛkʃən, dıˈsɛkʃən/",v," noun 
 verb "
12166,cosmology,"/kɑzˈmɑːləʤi/
/ˌkɑːzməˈlɑːʤıkəl/
/kɑzˈmɑːləʤıst/",n," adj 
 noun "
12167,aristocratic,/əˌrıstəˈkrætık/,j, adj 
12168,glitter,"/ˈglıtɚ/
/ˈglıtəri/",n," adj 
 noun 
 verb "
12169,disputed,,j, adj 
12170,cardinal,/ˈkɑɚdənəl/,n," adj 
 noun "
12171,verbally,,r, adv 
12172,pipe,/ˈpaıp/,v," noun 
 verb "
12173,abyss,/əˈbıs/,n, noun 
12174,estranged,,j,
12175,enclosed,,j, adj 
12176,rout,/ˈraʊt/,v," noun 
 verb "
12177,bribe,/ˈbraıb/,v," noun 
 verb "
12178,wasp,"/ˈwɑːsp/
/ˈwɑːsp/",n, noun 
12179,negotiated,,j,
12180,modesty,/ˈmɑːdəsti/,n, noun 
12181,termite,/ˈtɚˌmaıt/,n, noun 
12182,fencing,,n, noun 
12183,redwood,/ˈrɛdˌwʊd/,n, noun 
12184,fantasize,/ˈfæntəˌsaız/,v, verb 
12185,idealistic,/aıˌdiːjəˈlıstık/,j, adj 
12186,random,/ˈrændəm/,r," adj 
 adv 
 noun "
12187,gut,/ˈgʌt/,v," adj 
 noun 
 verb "
12188,clandestine,/klænˈdɛstən/,j," adj 
 adv "
12189,flop,/ˈflɑːp/,n," noun 
 verb "
12190,weaponry,/ˈwɛpənri/,n, noun 
12191,mysteriously,,r, adv 
12192,re-enter,"/riˈɛntɚ/
/riˈɛntri/",v," noun 
 verb "
12193,tether,/ˈtɛðɚ/,v," noun 
 verb "
12194,medalist,/ˈmɛdl̩ıst/,n, noun 
