rank,words,phonetic,coca_speech,WB_speech
3101,myth,/ˈmıθ/,n, noun 
3102,sophisticated,"/səˈfıstəˌkeıtəd/
/səˌfıstəˈkeıʃən/",j," adj 
 adv 
 noun "
3103,cow,/ˈkaʊ/,n," noun 
 verb "
3104,etc,,r,
3105,standing,/ˈstændıŋ/,n," adj 
 noun "
3106,asleep,/əˈsliːp/,j, adj 
3107,tennis,/ˈtɛnəs/,n, noun 
3108,nerve,/ˈnɚv/,n, noun 
3109,barrel,"/ˈberəl/
/ˈberəld/",n," adj 
 noun 
 verb "
3110,bombing,,n, noun 
3111,membership,/ˈmɛmbɚˌʃıp/,n, noun 
3112,ratio,/ˈreıʃiˌoʊ/,n, noun 
3113,menu,/ˈmɛnˌjuː/,n, noun 
3114,purchase,/ˈpɚʧəs/,n," adj 
 noun 
 verb "
3115,controversial,/ˌkɑːntrəˈvɚʃəl/,j," adj 
 adv "
3116,desperate,"/ˈdɛsprət/
/ˈdɛsprətli/",j," adj 
 adv "
3117,rate,/ˈreıt/,v," noun 
 verb "
3118,lifestyle,/ˈlaıfˌstajəl/,n, noun 
3119,humor,"/ˈhjuːmɚ/
/ˈhjuːmɚləs/",n," adj 
 noun 
 verb "
3120,loud,/ˈlaʊd/,j," adj 
 adv 
 noun "
3121,glove,"/ˈglʌv/
/ˈglʌvd/",n," adj 
 noun "
3122,suspect,"/səˈspɛkt/
/səˈspɛktəd/
/ˈsʌˌspɛkt/
/ˈsʌˌspɛkt/",n," adj 
 noun 
 verb "
3123,sufficient,"/səˈfıʃənt/
/səˈfıʃənsi/",j," adj 
 adv 
 noun "
3124,narrative,/ˈnerətıv/,n," adj 
 noun "
3125,photographer,/fəˈtɑːgrəfɚ/,n, noun 
3126,helicopter,/ˈhɛləˌkɑːptɚ/,n, noun 
3127,Catholic,"/ˈkæθlık/
/ˈkæθlık/",n," adj 
 noun "
3128,modest,/ˈmɑːdəst/,j," adj 
 adv "
3129,provider,/prəˈvaıdɚ/,n, noun 
3130,delay,/dıˈleı/,n," adj 
 noun 
 verb "
3131,agricultural,/ˌægrıˈkʌlʧərəl/,j," adj 
 adv "
3132,explode,/ıkˈsploʊd/,v, verb 
3133,stroke,/ˈstroʊk/,n," noun 
 verb "
3134,scope,/ˈskoʊp/,n," noun 
 verb "
3135,punishment,/ˈpʌnıʃmənt/,n, noun 
3136,handful,/ˈhændˌfʊl/,n, noun 
3137,badly,"/ˈbædli/
/ˈwɚs/
/ˈwɚst/",r, adv 
3138,horizon,/həˈraızn̩/,n, noun 
3139,curious,/ˈkjɚrijəs/,j," adj 
 adv "
3140,downtown,"/ˈdaʊnˌtaʊn/
/ˌdaʊnˈtaʊn/",j," adj 
 adv 
 noun "
3141,girlfriend,/ˈgɚlˌfrɛnd/,n, noun 
3142,prompt,/ˈprɑːmpt/,v," adj 
 adv 
 noun 
 verb "
3143,request,/rıˈkwɛst/,v," noun 
 verb "
3144,cholesterol,/kəˈlɛstəˌrɑːl/,n, noun 
3145,absorb,"/əbˈsoɚb/
/əbˈsoɚbəbəl/
/əbˈsoɚpʃən/",v," adj 
 noun 
 verb "
3146,adjustment,/əˈʤʌstmənt/,n, noun 
3147,taxpayer,/ˈtæksˌpejɚ/,n, noun 
3148,eager,/ˈiːgɚ/,j," adj 
 adv 
 noun "
3149,principal,"/ˈprınsəpəl/
/ˈprınsəpəli/",n," adj 
 adv 
 noun "
3150,detailed,,j, adj 
3151,motivation,"/ˌmoʊtəˈveıʃən/
/ˌmoʊtəˈveıʃənl̩/",n," adj 
 noun "
3152,assignment,/əˈsaınmənt/,n, noun 
3153,restriction,/rıˈstrıkʃən/,n, noun 
3154,across,/əˈkʰrɑːs/,r," adv 
 prep "
3155,Palestinian,,n,
3156,laboratory,"/ˈlæbrəˌtori, Brit ləˈbɒrətri/",n, noun 
3157,workshop,/ˈwɚkˌʃɑːp/,n, noun 
3158,differently,,r, adv 
3159,auto,/ˈɑːtoʊ/,n, noun 
3160,romantic,"/roʊˈmæntık/
/roʊˈmæntıkli/",j," adj 
 adv 
 noun "
3161,cotton,/ˈkɑːtn̩/,n," adj 
 noun 
 verb "
3162,motor,"/ˈmoʊtɚ/
/ˈmoʊtɚləs/",n," adj 
 noun 
 verb "
3163,sue,"/ˈsuː, Brit ˈsjuː/",v, verb 
3164,flavor,"/ˈfleıvɚ/
/ˈfleıvɚfəl/
/ˈfleıvɚləs/
/ˈfleıvɚsəm/",n," adj 
 noun 
 verb "
3165,overlook,/ˌoʊvɚˈlʊk/,v, verb 
3166,float,/ˈfloʊt/,v," noun 
 verb "
3167,undergo,"/ˌʌndɚˈgoʊ/
/-ˈwɛnt/
/-ˈgɑːn/",v, verb 
3168,sequence,/ˈsiːkwəns/,n, noun 
3169,demonstration,"/ˌdɛmənˈstreıʃən/
/ˌdɛmənˈstreıʃənl̩/",n," adj 
 noun "
3170,jet,/ˈʤɛt/,n," noun 
 verb "
3171,orange,"/ˈɑrınʤ, ˈorınʤ/
/ˈɑrınʤıʃ, ˈorınʤıʃ/",j," adj 
 noun "
3172,consumption,/kənˈsʌmpʃən/,n, noun 
3173,assert,"/əˈsɚt/
/əˈsɚʃən/",v," noun 
 verb "
3174,blade,/ˈbleıd/,n, noun 
3175,temporary,"/ˈtɛmpəˌreri/
/ˌtɛmpəˈrerəli/",j," adj 
 adv "
3176,medication,/ˌmɛdıˈkeıʃən/,n, noun 
