rank,words,phonetic,coca_speech,WB_speech
17401,standby,"/ˈstændˌbaı/
/ˈstændˌbaız/",n," adj 
 noun "
17402,irreverent,"/ıˈrɛvərənt/
/ıˈrɛvərəns/",j," adj 
 adv 
 noun "
17403,hash,/ˈhæʃ/,n," noun 
 verb "
17404,disengagement,/ˌdısn̩ˈgeıʤmənt/,n, noun 
17405,hairdo,/ˈheɚˌduː/,n, noun 
17406,layering,,n,
17407,redundancy,/rıˈdʌndənsi/,n, noun 
17408,Californian,,j,
17409,abhor,"/əbˈhoɚ/
/əbˈhorəns/",v," noun 
 verb "
17410,deacon,/ˈdiːkən/,n, noun 
17411,silhouette,/ˌsıləˈwɛt/,v," noun 
 verb "
17412,micron,/ˈmaıˌkrɑːn/,n, noun 
17413,congruent,"/kənˈgruːwənt, ˈkɑːŋgruːwənt/
/kənˈgruːwəns, ˈkɑːŋgruːwəns/",j," adj 
 noun "
17414,penance,/ˈpɛnəns/,n, noun 
17415,vomit,/ˈvɑːmət/,n," noun 
 verb "
17416,bouncer,/ˈbaʊnsɚ/,n, noun 
17417,script,/ˈskrıpt/,v," noun 
 verb "
17418,dud,/ˈdʌd/,n," adj 
 noun "
17419,flowered,/ˈflawɚd/,j, adj 
17420,eloquence,/ˈɛləkwəns/,n, noun 
17421,heterogeneity,/ˌhɛtəroʊʤəˈniːjəti/,n, noun 
17422,tar,/ˈtɑɚ/,v," noun 
 verb "
17423,sleigh,/ˈsleı/,n, noun 
17424,anomalous,/əˈnɑːmələs/,j, adj 
17425,shelling,,n, noun 
17426,voodoo,/ˈvuːˌduː/,n," adj 
 noun "
17427,catapult,/ˈkætəˌpʌlt/,v," noun 
 verb "
17428,unscrupulous,/ˌʌnˈskruːpjələs/,j," adj 
 adv 
 noun "
17429,exhilaration,/ıgˌzıləˈreıʃən/,n, noun 
17430,totalitarianism,/toʊˌtæləˈterijəˌnızəm/,n, noun 
17431,East-West,,j,
17432,liberated,,j, adj 
17433,spruce,/ˈspruːs/,v," adj 
 adv 
 noun 
 verb "
17434,typology,"/taıˈpɑːləʤi/
/ˌtaıpəˈlɑːʤıkəl/",n," adj 
 noun "
17435,leery,/ˈliri/,j, adj 
17436,legume,"/ˈlɛˌgjuːm/
/lıˈgjuːmənəs/",n," adj 
 noun "
17437,fowl,/ˈfawəl/,n, noun 
17438,assuage,/əˈsweıʤ/,v, verb 
17439,begging,,n,
17440,audacity,/ɑˈdæsəti/,n, noun 
17441,clamor,"/ˈklæmɚ/
/ˈklæmrəs/",n," adj 
 noun 
 verb "
17442,arterial,/ɑɚˈtʰirijəl/,j, adj 
17443,ajar,/əˈʤɑɚ/,j, adj 
17444,perplexing,,j, adj 
17445,geriatric,/ˌʤeriˈætrık/,j," adj 
 noun "
17446,selfless,/ˈsɛlfləs/,j," adj 
 adv 
 noun "
17447,lasagna,"/ləˈzɑːnjə, Brit ləˈsænjə/",n, noun 
17448,bulldoze,/ˈbʊlˌdoʊz/,v, verb 
17449,anorexia,"/ˌænəˈrɛksijə/
/ˌænəˈrɛksık/",n," adj 
 noun "
17450,movable,/ˈmuːvəbəl/,j, adj 
17451,patronizing,,j," adj 
 adv "
17452,smashing,/ˈsmæʃıŋ/,j, adj 
17453,ether,/ˈiːθɚ/,n, noun 
17454,malevolent,"/məˈlɛvələnt/
/məˈlɛvələns/",j," adj 
 adv 
 noun "
17455,seamlessly,,r, adv 
17456,catechism,/ˈkætəˌkızəm/,n, noun 
17457,thank-you,/ˈθæŋkˌjuː/,n, noun 
17458,heft,/ˈhɛft/,v," noun 
 verb "
17459,meth,,n,
17460,longitude,"/ˈlɑːnʤəˌtuːd, Brit ˈlɒnʤəˌtjuːd/",n, noun 
17461,glossary,/ˈglɑːsəri/,n, noun 
17462,scrawny,/ˈskrɑːni/,j, adj 
17463,distasteful,/dısˈteıstfəl/,j," adj 
 adv "
17464,ruse,"/ˈruːs, Brit ˈruːz/",n, noun 
17465,fibrous,/ˈfaıbrəs/,j, adj 
17466,artfully,/ˈɑɚtfəli/,r, adv 
17467,campaigner,,n, noun 
17468,provenance,/ˈprɑːvənəns/,n, noun 
17469,supercomputer,/ˈsuːpɚkəmˌpjuːtɚ/,n, noun 
17470,dialectical,/ˌdajəˈlɛktıkəl/,j, adj 
17471,gratuitous,"/grəˈtuːwətəs, Brit grəˈtjuːətəs/",j," adj 
 adv 
 noun "
17472,gusto,/ˈgʌstoʊ/,n, noun 
17473,humanistic,/ˌhjuːməˈnıstık/,j, adj 
17474,wheelbarrow,/ˈwiːlˌberoʊ/,n, noun 
17475,elapse,/ıˈlæps/,v, verb 
17476,pique,/ˈpiːk/,v," noun 
 verb "
17477,one-room,,j,
17478,treasured,,j,
17479,crosstalk,,n,
17480,impressionist,/ımˈprɛʃənıst/,j," adj 
 noun "
17481,sporadically,/spəˈrædıkli/,r, adv 
17482,dollop,/ˈdɑːləp/,n, noun 
17483,echelon,/ˈɛʃəˌlɑːn/,n, noun 
17484,adoring,,j, adj 
17485,astray,/əˈstreı/,r, adv 
17486,goad,/ˈgoʊd/,v," noun 
 verb "
17487,empathize,/ˈɛmpəˌθaız/,v, verb 
17488,robotics,/roʊˈbɑːtıks/,n, noun 
17489,re-enactment,/ˌriːjəˈnæktmənt/,n, noun 
17490,withering,/ˈwıðərıŋ/,j, adj 
17491,etiology,,n,
17492,restate,"/riˈsteıt/
/riˈsteıtmənt/",v," noun 
 verb "
17493,capitalization,"/ˌkæpətələˈzeıʃən, Brit ˌkæpətəˌlaıˈzeıʃən/",n, noun 
17494,chairperson,/ˈʧeɚˌpɚsn̩/,n, noun 
17495,sensing,,n,
17496,secretion,/sıˈkriːʃən/,n, noun 
17497,Malaysian,,j,
17498,contemptuous,/kənˈtɛmpʧəwəs/,j," adj 
 adv "
17499,atonement,/əˈtʰoʊnmənt/,n, noun 
17500,precariously,,r, adv 
