rank,words,phonetic,coca_speech,WB_speech
13401,vulture,/ˈvʌlʧɚ/,n, noun 
13402,uphill,"/ˈʌpˈhıl/
/ˈʌpˌhıl/",r," adj 
 adv "
13403,tailor,"/ˈteılɚ/
/ˈteılɚd/
/ˈteılərıŋ/",n," adj 
 noun 
 verb "
13404,dutifully,"/ˈduːtıfli, Brit ˈdjuːtıfli/",r, adv 
13405,inexplicable,"/ˌınıkˈsplıkəbəl, ınˈɛksplıkəbəl/
/ˌınıkˈsplıkəbli, ınˈɛksplıkəbli/",j," adj 
 adv "
13406,lax,"/ˈlæks/
/ˈlæksəti/",j," adj 
 adv 
 noun "
13407,plurality,/plʊˈræləti/,n, noun 
13408,warring,/ˈworıŋ/,j, adj 
13409,porter,/ˈpoɚtɚ/,n, noun 
13410,toil,"/ˈtojəl/
/ˈtoılɚ/",v," noun 
 verb "
13411,restart,/riˈstɑɚt/,v," noun 
 verb "
13412,oppress,"/əˈprɛs/
/əˈprɛʃən/
/əˈprɛsɚ/",v," noun 
 verb "
13413,participatory,"/pɑɚˈtısəpəˌtori, Brit pɑˌtısəˈpeıtri/",j, adj 
13414,dissemination,/dıˌsɛməˈneıʃən/,n, noun 
13415,pulse,/ˈpʌls/,v," noun 
 verb "
13416,fast-growing,,j,
13417,inundate,"/ˈınənˌdeıt/
/ˌınənˈdeıʃən/",v," noun 
 verb "
13418,assigned,,j,
13419,stockholder,/ˈstɑːkˌhoʊldɚ/,n, noun 
13420,reparation [PL],,n,
13421,recur,/rıˈkɚ/,v," adj 
 verb "
13422,zombie,/ˈzɑːmbi/,n, noun 
13423,prism,/ˈprızəm/,n, noun 
13424,bigotry,/ˈbıgətri/,n, noun 
13425,transistor,/trænˈzıstɚ/,n, noun 
13426,sync,/ˈsıŋk/,n, noun 
13427,postulate,"/ˈpɑːsʧəˌleıt/
/ˈpɑːsʧələt/",v," noun 
 verb "
13428,boiled,(= one boiled for a long/short time) ,j,
13429,periodical,/ˌpiriˈɑdıkəl/,n, noun 
13430,racing,,n, noun 
13431,predispose,"/ˌpriːdıˈspoʊz/
/ˌpriːˌdıspəˈzıʃən/",v," noun 
 verb "
13432,mane,/ˈmeın/,n, noun 
13433,furry,/ˈfɚri/,j, adj 
13434,painkiller,"/ˈpeınˌkılɚ/
/ˈpeınˌkılıŋ/",n," adj 
 noun "
13435,roomy,/ˈruːmi/,j," adj 
 noun "
13436,untold,/ˌʌnˈtoʊld/,j, adj 
13437,hangover,/ˈhæŋˌoʊvɚ/,n, noun 
13438,policing,/pəˈliːsıŋ/,n, noun 
13439,repress,/rıˈprɛs/,v, verb 
13440,speechless,/ˈspiːʧləs/,j, adj 
13441,tableau,"/ˈtæˌbloʊ/
/ˈtæˌbloʊz/",n, noun 
13442,bombard,"/bɑmˈbɑɚd/
/bɑmˈbɑɚdmənt/",v," noun 
 verb "
13443,tranquil,/ˈtræŋkwəl/,j, adj 
13444,pungent,"/ˈpʌnʤənt/
/ˈpʌnʤənsi/",j," adj 
 adv 
 noun "
13445,centrality,/sɛnˈtræləti/,n, noun 
13446,bore,/ˈboɚ/,n," adj 
 noun 
 verb "
13447,stardom,/ˈstɑɚdəm/,n, noun 
13448,over-the-counter,,j, adj 
13449,miscarriage,/mısˈkerıʤ/,n, noun 
13450,assembled,,j,
13451,scapegoat,/ˈskeıpˌgoʊt/,n," noun 
 verb "
13452,telltale,/ˈtɛlˌteıl/,n," adj 
 noun "
13453,mindless,/ˈmaındləs/,j," adj 
 adv 
 noun "
13454,rightful,/ˈraıtfəl/,j," adj 
 adv "
13455,trumpet,/ˈtrʌmpət/,v," noun 
 verb "
13456,sarcastic,"/sɑɚˈkæstık/
/sɑɚˈkæstıkli/",j," adj 
 adv "
13457,pulmonary,"/ˈpʊlməˌneri, Brit ˈpʊlmənri/",j, adj 
13458,mire,/ˈmajɚ/,v, noun 
13459,burly,/ˈbɚli/,j, adj 
13460,first-rate,/ˈfɚstˈreıt/,j, adj 
13461,defensively,,r, adv 
13462,gymnasium,/ʤımˈneızijəm/,n, noun 
13463,mmm,,u,
13464,sling,"/ˈslıŋ/
/ˈslʌŋ/",n," noun 
 verb "
13465,panorama,"/ˌpænəˈræmə, Brit ˌpænəˈrɑːmə/
/ˌpænəˈræmık/",n," adj 
 noun "
13466,trustworthy,/ˈtrʌstˌwɚði/,j," adj 
 noun "
13467,trilogy,/ˈtrıləʤi/,n, noun 
13468,preparatory,"/prıˈperəˌtori, Brit prıˈpærətri/",j, adj 
13469,LED,/ˌɛlˌiːˈdiː/,n, noun 
13470,sidestep,/ˈsaıdˌstɛp/,v, verb 
13471,linked,,j,
13472,buried,,j,
13473,wide-ranging,/ˈwaıdˌreınʤıŋ/,j, adj 
13474,hiking,,n," adj 
 noun "
13475,kissing,,n,
13476,topography,"/təˈpɑːgrəfi/
/təˈpɑːgrəfɚ/
/ˌtɑːpəˈgræfık/
/ˌtɑːpəˈgræfıkəl/
/ˌtɑːpəˈgræfıkli/",n," adj 
 adv 
 noun "
13477,corner,/ˈkoɚnɚ/,v," adj 
 noun 
 verb "
13478,transcendent,"/trænˈsɛndənt/
/trænˈsɛndəns/",j," adj 
 noun "
13479,variously,/ˈverijəsli/,r, adv 
13480,marquee,/mɑɚˈkiː/,n," adj 
 noun "
13481,drying,,n,
13482,finder,/ˈfaındɚ/,n, noun 
13483,whimsical,"/ˈwımzıkəl/
/ˈwımzıkli/",j," adj 
 adv "
13484,medium-size,,j,
13485,Croat,,n,
13486,style,/ˈstajəl/,v," noun 
 verb "
13487,grinder,/ˈgraındɚ/,n, noun 
13488,mounting,/ˈmaʊntıŋ/,j," adj 
 noun "
13489,effortlessly,,r, adv 
13490,Somali,,j,
13491,gravely,,r, adv 
13492,activation,/ˌæktəˈveıʃən/,n, noun 
13493,lyrical,"/ˈlirıkəl/
/ˈlirıkli/",j," adj 
 adv "
13494,dependent,"/dıˈpɛndənt/
/dıˈpɛndənt/",n," adj 
 noun "
13495,perpetually,,r, adv 
13496,fondness,/ˈfɑːndnəs/,n, noun 
13497,shellfish,/ˈʃɛlˌfıʃ/,n, noun 
13498,absentee,/ˌæbsənˈtiː/,n, noun 
13499,erection,/ıˈrɛkʃən/,n, noun 
13500,diva,/ˈdiːvə/,n, noun 
