rank,words,phonetic,coca_speech,WB_speech
2201,abandon,"/əˈbændən/
/əˈbændənmənt/",v," noun 
 verb "
2202,link,/ˈlıŋk/,n," noun 
 verb "
2203,mass,/ˈmæs/,j," adj 
 noun 
 verb "
2204,lake,/ˈleık/,n, noun 
2205,transform,/trænsˈfoɚm/,v, verb 
2206,tension,/ˈtɛnʃən/,n, noun 
2207,display,/dıˈspleı/,n," noun 
 verb "
2208,leading,/ˈliːdıŋ/,j, adj 
2209,bother,/ˈbɑːðɚ/,v," noun 
 verb "
2210,consist,/kənˈsıst/,v, verb 
2211,alcohol,/ˈælkəˌhɑːl/,n, noun 
2212,enable,/ıˈneıbəl/,v, verb 
2213,bend,"/ˈbɛnd/
/ˈbɛnt/
/ˈbɛndi/",v," adj 
 noun 
 verb "
2214,saving [PL],,n,
2215,gain,/ˈgeın/,n," noun 
 verb "
2216,desert,"/ˈdɛzɚt/
/dıˈzɚt/
/dıˈzɚʃən/",n," adj 
 noun 
 verb "
2217,shall,"/ˈʃæl, ʃəl/
/ˈʃʊd, ʃəd/
/ˈʃænt, Brit ˈʃɑːnt/",v, verb 
2218,error,"/ˈerɚ/
/ˈerɚləs/",n," adj 
 noun "
2219,release,/rıˈliːs/,n," noun 
 verb "
2220,cop,/ˈkɑːp/,n," noun 
 verb "
2221,Arab,/ˈerəb/,j," adj 
 noun "
2222,double,/ˈdʌbəl/,j," adj 
 adv 
 noun 
 verb "
2223,walk,/ˈwɑːk/,n," noun 
 verb "
2224,sand,/ˈsænd/,n," noun 
 verb "
2225,Spanish,/ˈspænıʃ/,j," adj 
 noun "
2226,rule,/ˈruːl/,v," noun 
 verb "
2227,hit,"/ˈhıt/
/ˈhıtləs/",n," adj 
 noun 
 verb "
2228,print,/ˈprınt/,n," adj 
 noun 
 verb "
2229,preserve,/prıˈzɚv/,v," noun 
 verb "
2230,passage,/ˈpæsıʤ/,n, noun 
2231,formal,/ˈfoɚməl/,j," adj 
 adv 
 noun "
2232,transition,"/trænˈzıʃən/
/trænˈzıʃənəl/",n," adj 
 noun 
 verb "
2233,existence,/ıgˈzıstəns/,n, noun 
2234,album,/ˈælbəm/,n, noun 
2235,participation,/pɑɚˌtısəˈpeıʃən/,n, noun 
2236,arrange,/əˈreınʤ/,v, verb 
2237,atmosphere,/ˈætməˌsfiɚ/,n, noun 
2238,joint,/ˈʤoınt/,j," adj 
 adv 
 noun "
2239,reply,/rıˈplaı/,v," noun 
 verb "
2240,cycle,"/ˈsaıkəl/
/ˈsaıkələst/",n," noun 
 verb "
2241,opposite,/ˈɑːpəzət/,j," adj 
 adv 
 noun 
 prep "
2242,lock,/ˈlɑːk/,v," noun 
 verb "
2243,whole,/ˈhoʊl/,n," adj 
 adv 
 noun "
2244,deserve,"/dıˈzɚv/
/dıˈzɚvd/
/dıˈzɚvədli/",v," adj 
 adv 
 verb "
2245,consistent,/kənˈsıstənt/,j," adj 
 adv "
2246,resistance,/rıˈzıstəns/,n, noun 
2247,discovery,/dıˈskʌvəri/,n, noun 
2248,tear,"/ˈteɚ/
/ˈtoɚ/
/ˈtoɚn/
/ˈtiɚ/",v," noun 
 verb "
2249,exposure,/ıkˈspoʊʒɚ/,n, noun 
2250,pose,/ˈpoʊz/,v," noun 
 verb "
2251,stream,/ˈstriːm/,n," noun 
 verb "
2252,sale,/ˈseıl/,n, noun 
2253,trust,/ˈtrʌst/,n," noun 
 verb "
2254,benefit,/ˈbɛnəˌfıt/,v," noun 
 verb "
2255,pot,/ˈpɑːt/,n," noun 
 verb "
2256,grand,/ˈgrænd/,j," adj 
 adv 
 noun "
2257,mine,/ˈmaın/,p," noun 
 pronoun 
 verb "
2258,hello,/həˈloʊ/,u, noun 
2259,coalition,/ˌkowəˈlıʃən/,n, noun 
2260,tale,/ˈteıl/,n, noun 
2261,knife,"/ˈnaıf/
/ˈnaıvz/",n," noun 
 verb "
2262,resolve,"/rıˈzɑːlv/
/rıˈzɑːlvəbəl/",v," adj 
 noun 
 verb "
2263,racial,/ˈreıʃəl/,j," adj 
 adv "
2264,phase,/ˈfeız/,n," noun 
 verb "
2265,present,"/ˈprɛzn̩t/
/prıˈzɛnt/
/ˈprɛzn̩t/
/ˈprɛzn̩t/",n," adj 
 noun 
 verb "
2266,joke,"/ˈʤoʊk/
/ˈʤoʊkıŋli/",n," adv 
 noun 
 verb "
2267,coat,/ˈkoʊt/,n," adj 
 noun 
 verb "
2268,Mexican,/ˈmɛksıkən/,j," adj 
 noun "
2269,symptom,/ˈsımptəm/,n, noun 
2270,contact,/ˈkɑːnˌtækt/,v," adj 
 noun 
 verb "
2271,manufacturer,/ˌmænjəˈfækʧɚrɚ/,n, noun 
2272,philosophy,/fəˈlɑːsəfi/,n, noun 
2273,potato,/pəˈteıtoʊ/,n, noun 
2274,interview,/ˈıntɚˌvjuː/,v," noun 
 verb "
2275,foundation,/faʊnˈdeıʃən/,n, noun 
2276,quote,/ˈkwoʊt/,v," noun 
 verb "
2277,online,/ˈɑːnˌlaın/,j," adj 
 adv "
2278,pass,"/ˈpæs, Brit ˈpɑːs/",n," noun 
 verb "
2279,negotiation,/nıˌgoʊʃiˈeıʃən/,n, noun 
2280,good [PL],,n,
2281,urge,/ˈɚʤ/,v," noun 
 verb "
2282,occasion,/əˈkeıʒən/,n," noun 
 verb "
2283,dust,/ˈdʌst/,n," noun 
 verb "
2284,breathe,"/ˈbriːð/
/ˈbriːðəbəl/",v," adj 
 noun 
 verb "
2285,elect,/ıˈlɛkt/,v," adj 
 noun 
 verb "
2286,investigator,/ınˈvɛstəˌgeıtɚ/,n, noun 
2287,jacket,/ˈʤækət/,n, noun 
2288,glad,/ˈglæd/,j," adj 
 adv 
 noun "
2289,ordinary,"/ˈoɚdəˌneri, Brit ˈɔːdənri/
/ˈoɚdəˌnerinəs/",j," adj 
 noun "
2290,reduction,/rıˈdʌkʃən/,n, noun 
2291,rarely,/ˈreɚli/,r, adv 
2292,shift,/ˈʃıft/,n," noun 
 verb "
2293,pack,"/ˈpæk/
/ˈpækəbəl/",v," adj 
 noun 
 verb "
2294,suicide,/ˈsuːwəˌsaıd/,n," adj 
 noun "
2295,numerous,"/ˈnuːmərəs, Brit ˈnjuːmərəs/",j, adj 
2296,touch,/ˈtʌʧ/,n," noun 
 verb "
2297,substance,/ˈsʌbstəns/,n, noun 
2298,discipline,/ˈdısəplən/,n," adj 
 noun 
 verb "
2299,elsewhere,/ˈɛlsˌweɚ/,r, adv 
2300,iron,/ˈajɚn/,n," adj 
 noun 
 verb "
