rank,words,speech,freqency,dispersion
1,the,a,22038615,0.98
2,be,v,12545825,0.97
3,and,c,10741073,0.99
4,of,i,10343885,0.97
5,a,a,10144200,0.98
6,in,i,6996437,0.98
7,to,t,6332195,0.98
8,have,v,4303955,0.97
9,to,i,3856916,0.99
10,it,p,3872477,0.96
11,I,p,3978265,0.93
12,that,c,3430996,0.97
13,for,i,3281454,0.98
14,you,p,3081151,0.92 S
15,he,p,2909254,0.94
16,with,i,2683014,0.99
17,on,i,2485306,0.99
18,do,v,2573587,0.95
19,say,v,1915138,0.95
20,this,d,1885366,0.96
21,they,p,1865580,0.96
22,at,i,1767638,0.98
23,but,c,1776767,0.97
24,we,p,1820935,0.94 S
25,his,a,1801708,0.95
26,from,i,1635914,0.99
27,that,d,1712406,0.94 S
28,not,x,1638830,0.98
29,n''t,x,1619007,0.94
30,by,i,1490548,0.96
31,she,p,1484869,0.91 F
32,or,c,1379320,0.97
33,as,c,1296879,0.98
34,what,d,1181023,0.94
35,go,v,1151045,0.93 S
36,their,a,1083029,0.97
37,can,v,1022775,0.98
38,who,p,1018283,0.97
39,get,v,992596,0.94
40,if,c,933542,0.97
41,would,v,925515,0.97
42,her,a,969591,0.91 F
43,all,d,892102,0.98
44,my,a,919821,0.93 F
45,make,v,857168,0.98
46,about,i,874406,0.96
47,know,v,892535,0.93 S
48,will,v,824568,0.97
49,as,i,829018,0.95
50,up,r,795534,0.95
51,one,m,768232,0.98
52,time,n,764657,0.98
53,there,e,784528,0.96
54,year,n,769254,0.96
55,so,r,756550,0.95
56,think,v,772787,0.91 S
57,when,c,678626,0.98
58,which,d,685982,0.96
59,them,p,677870,0.97
60,some,d,674193,0.98
61,me,p,709623,0.92 F
62,people,n,691468,0.95
63,take,v,670745,0.97
64,out,r,678603,0.96
65,into,i,668172,0.97
66,just,r,677711,0.94
67,see,v,663645,0.96
68,him,p,677707,0.92 F
69,your,a,659622,0.94
70,come,v,628254,0.95
71,could,v,617932,0.96
72,now,r,605997,0.94
73,than,c,579757,0.97
74,like,i,568850,0.96
75,other,j,547799,0.97
76,how,r,538893,0.97
77,then,r,543977,0.95
78,its,a,539719,0.96
79,our,a,525107,0.97
80,two,m,511027,0.99
81,more,r,517536,0.97
82,these,d,513864,0.95
83,want,v,514972,0.95
84,way,n,470401,0.98
85,look,v,491707,0.93 F
86,first,m,463566,0.98
87,also,r,464606,0.96
88,new,j,435993,0.97
89,because,c,438539,0.96
90,day,n,432773,0.97
91,more,d,420170,0.97
92,use,v,420781,0.96
93,no,a,402222,0.98
94,man,n,409760,0.95
95,find,v,395203,0.98
96,here,r,412315,0.93 S
97,thing,n,400724,0.94
98,give,v,384503,0.98
99,many,d,385348,0.97
100,well,r,411776,0.91 S
101,only,r,379574,0.98
102,those,d,378007,0.97
103,tell,v,388155,0.94
104,one,p,369553,0.98
105,very,r,391821,0.92 S
106,her,p,397950,0.89 F
107,even,r,361067,0.98
108,back,r,367844,0.94
109,any,d,348100,0.98
110,good,j,353973,0.96
111,woman,n,341422,0.98
112,through,i,340921,0.98
113,us,p,351088,0.95
114,life,n,333085,0.98
115,child,n,333849,0.97
116,there,r,333433,0.93 S
117,work,v,318210,0.98
118,down,r,329409,0.94 F
119,may,v,324569,0.95
120,after,i,311902,0.98
121,should,v,310265,0.98
122,call,v,308050,0.97
123,world,n,303506,0.97
124,over,i,300349,0.98
125,school,n,304183,0.95
126,still,r,296953,0.97
127,try,v,294023,0.96
128,in,r,285035,0.98
129,as,r,281483,0.98
130,last,m,289843,0.95
131,ask,v,284632,0.96
132,need,v,276744,0.98
133,too,r,280396,0.96
134,feel,v,275214,0.95
135,three,m,266744,0.98
136,when,r,268219,0.97
137,state,n,272193,0.94
138,never,r,262584,0.96
139,become,v,259102,0.97
140,between,i,264158,0.94 A
141,high,j,255936,0.96
142,really,r,263414,0.91 S
143,something,p,254910,0.94
144,most,r,246360,0.96
145,another,d,240646,0.98
146,much,d,244507,0.97
147,family,n,243267,0.97
148,own,d,240452,0.98
149,out,i,242443,0.96
150,leave,v,240482,0.96
151,put,v,237480,0.96
152,old,j,236577,0.96
153,while,c,234555,0.97
154,mean,v,242198,0.93 S
155,on,r,236980,0.95
156,keep,v,231760,0.96
157,student,n,255047,0.88 A
158,why,r,235442,0.95
159,let,v,240300,0.93 S
160,great,j,225005,0.97
161,same,d,222836,0.98
162,big,j,227169,0.96
163,group,n,229435,0.93 A
164,begin,v,218617,0.98
165,seem,v,219627,0.97
166,country,n,223138,0.95
167,help,v,216082,0.98
168,talk,v,229429,0.92 S
169,where,c,213744,0.98
170,turn,v,221392,0.94 F
171,problem,n,217728,0.96
172,every,a,212739,0.97
173,start,v,213952,0.96
174,hand,n,225247,0.91 F
175,might,v,209059,0.98
176,American,j,214968,0.95
177,show,v,208037,0.98
178,part,n,207861,0.98
179,about,r,208550,0.97
180,against,i,204379,0.98
181,place,n,202427,0.98
182,over,r,208260,0.95
183,such,d,207065,0.95
184,again,r,206895,0.94
185,few,d,197266,0.97
186,case,n,200773,0.95
187,most,d,197086,0.96
188,week,n,199268,0.95
189,company,n,203345,0.93
190,where,r,194427,0.96
191,system,n,200175,0.94
192,each,d,196522,0.95
193,right,r,205250,0.90 S
194,program,n,195985,0.93 A
195,hear,v,196070,0.93
196,so,c,191893,0.95
197,question,n,192070,0.95
198,during,i,190729,0.95
199,work,n,187533,0.97
200,play,v,188328,0.96
201,government,n,191314,0.94
202,run,v,187325,0.96
203,small,j,185463,0.97
204,number,n,186005,0.96
205,off,r,183854,0.95
206,always,r,179474,0.97
207,move,v,179388,0.97
208,like,v,182341,0.95
209,night,n,184511,0.93 F
210,live,v,176144,0.98
211,Mr,n,188555,0.91 N
212,point,n,177481,0.97
213,believe,v,178397,0.96
214,hold,v,177368,0.97
215,today,r,183724,0.93 S
216,bring,v,174366,0.98
217,happen,v,182714,0.93 S
218,next,m,176306,0.96
219,without,i,172448,0.98
220,before,i,172769,0.98
221,large,j,175611,0.96
222,all,r,177317,0.93 S
223,million,m,176895,0.93 N
224,must,v,171043,0.96
225,home,n,170527,0.96
226,under,i,164766,0.98
227,water,n,167666,0.96
228,room,n,172472,0.92 F
229,write,v,161824,0.98
230,mother,n,169407,0.93 F
231,area,n,165812,0.95
232,national,j,166359,0.95
233,money,n,164794,0.95
234,story,n,163582,0.96
235,young,j,160011,0.98
236,fact,n,164401,0.95
237,month,n,162685,0.96
238,different,j,162411,0.96
239,lot,n,169570,0.92 S
240,right,n,163259,0.95
241,study,n,174069,0.88 A
242,book,n,154013,0.98
243,eye,n,169150,0.89 F
244,job,n,154743,0.96
245,word,n,152891,0.97
246,though,c,152182,0.97
247,business,n,154468,0.95
248,issue,n,156417,0.94
249,side,n,152559,0.96
250,kind,n,155032,0.95
251,four,m,150646,0.97
252,head,n,160131,0.91 F
253,far,r,148621,0.98
254,black,j,150718,0.96
255,long,j,149050,0.97
256,both,d,146338,0.97
257,little,j,149658,0.94
258,house,n,149251,0.94
259,yes,u,157364,0.89 S
260,after,c,142289,0.98
261,since,c,141264,0.98
262,long,r,142007,0.97
263,provide,v,150879,0.91 A
264,service,n,146122,0.94
265,around,i,143766,0.96
266,friend,n,142697,0.96
267,important,j,144194,0.95
268,father,n,145051,0.93 F
269,sit,v,147185,0.92 F
270,away,r,144713,0.93 F
271,until,c,140819,0.96
272,power,n,141357,0.95
273,hour,n,138955,0.96
274,game,n,146311,0.92 N
275,often,r,140731,0.95
276,yet,r,135484,0.98
277,line,n,135986,0.98
278,political,j,144437,0.92 A
279,end,n,134104,0.98
280,among,i,138192,0.94
281,ever,r,135774,0.96
282,stand,v,140937,0.92 F
283,bad,j,134910,0.96
284,lose,v,134102,0.97
285,however,r,142282,0.91 A
286,member,n,134731,0.95
287,pay,v,133133,0.96
288,law,n,133706,0.95
289,meet,v,128737,0.98
290,car,n,133571,0.94
291,city,n,132684,0.95
292,almost,r,127907,0.98
293,include,v,133563,0.93 A
294,continue,v,126029,0.98
295,set,v,127369,0.97
296,later,r,126495,0.98
297,community,n,133057,0.93 A
298,much,r,126029,0.98
299,name,n,127139,0.97
300,five,m,125571,0.97
301,once,r,126203,0.97
302,white,j,126760,0.96
303,least,r,123961,0.98
304,president,n,134203,0.90 S
305,learn,v,124346,0.97
306,real,j,124187,0.97
307,change,v,123183,0.98
308,team,n,131489,0.92 N
309,minute,n,126660,0.95
310,best,j,124850,0.96
311,several,d,124039,0.97
312,idea,n,122140,0.98
313,kid,n,126428,0.95
314,body,n,125165,0.96
315,information,n,127331,0.94
316,nothing,p,126717,0.94 F
317,ago,r,125252,0.95
318,right,j,126278,0.94
319,lead,v,122691,0.97
320,social,j,132899,0.89 A
321,understand,v,121354,0.97
322,whether,c,121921,0.96
323,back,n,125006,0.94 F
324,watch,v,124976,0.94 F
325,together,r,119186,0.98
326,follow,v,119425,0.97
327,around,r,122789,0.94
328,parent,n,119610,0.97
329,only,j,117700,0.98
330,stop,v,121481,0.94 F
331,face,n,127291,0.89 F
332,anything,p,120292,0.94
333,create,v,119419,0.95
334,public,j,119825,0.95
335,already,r,115220,0.98
336,speak,v,117358,0.96
337,others [PL],n,115771,0.97
338,read,v,114094,0.97
339,level,n,121704,0.91 A
340,allow,v,114892,0.97
341,add,v,117842,0.94
342,office,n,114791,0.97
343,spend,v,114569,0.97
344,door,n,124993,0.88 F
345,health,n,117762,0.94
346,person,n,113650,0.97
347,art,n,117851,0.93
348,sure,j,116186,0.94
349,such,i,119125,0.92 A
350,war,n,117804,0.93
351,history,n,114904,0.95
352,party,n,112962,0.96
353,within,i,114599,0.93 A
354,grow,v,110020,0.97
355,result,n,116277,0.92 A
356,open,v,111857,0.94
357,change,n,112426,0.94 A
358,morning,n,114002,0.92 S
359,walk,v,113787,0.92 F
360,reason,n,106863,0.97
361,low,j,108990,0.95
362,win,v,111478,0.93 N
363,research,n,114802,0.90 A
364,girl,n,110409,0.93 F
365,guy,n,110409,0.93
366,early,j,108171,0.95
367,food,n,107728,0.96
368,before,c,107448,0.96
369,moment,n,109720,0.94 F
370,himself,p,109288,0.94 F
371,air,n,105932,0.96
372,teacher,n,116100,0.88 A
373,force,n,108005,0.95
374,offer,v,106473,0.96
375,enough,r,105880,0.96
376,both,r,106361,0.95
377,education,n,113731,0.89 A
378,across,i,105559,0.96
379,although,c,107925,0.93 A
380,remember,v,106879,0.94
381,foot,n,107285,0.94
382,second,m,103621,0.97
383,boy,n,107447,0.93 F
384,maybe,r,108421,0.92 F
385,toward,i,105984,0.94
386,able,j,103171,0.97
387,age,n,103402,0.96
388,off,i,104122,0.95
389,policy,n,107601,0.92 A
390,everything,p,103591,0.95
391,love,v,103681,0.95
392,process,n,107341,0.91 A
393,music,n,102657,0.95
394,including,i,103650,0.94
395,consider,v,101987,0.96
396,appear,v,100671,0.97
397,actually,r,105155,0.92 S
398,buy,v,101105,0.95
399,probably,r,99754,0.96
400,human,j,101224,0.94 A
401,wait,v,102463,0.93 F
402,serve,v,99660,0.95
403,market,n,100435,0.94
404,die,v,98376,0.96
405,send,v,96613,0.97
406,expect,v,95566,0.98
407,home,r,97937,0.95
408,sense,n,95896,0.97
409,build,v,96651,0.96
410,stay,v,96933,0.96
411,fall,v,96908,0.95
412,oh,u,103613,0.89 S
413,nation,n,97212,0.95
414,plan,n,95824,0.96
415,cut,v,96012,0.95
416,college,n,97038,0.94
417,interest,n,96620,0.95
418,death,n,93222,0.98
419,course,r,96224,0.95
420,someone,p,95608,0.95
421,experience,n,98106,0.93 A
422,behind,i,95047,0.93 F
423,reach,v,92375,0.96
424,local,j,92970,0.95
425,kill,v,92660,0.95
426,six,m,90571,0.97
427,remain,v,91319,0.96
428,effect,n,95216,0.92 A
429,use,n,96564,0.90 A
430,yeah,u,103389,0.84 S
431,suggest,v,92643,0.93 A
432,class,n,91323,0.94
433,control,n,90301,0.94
434,raise,v,87036,0.98
435,care,n,88862,0.96
436,perhaps,r,87060,0.98
437,little,r,88697,0.95
438,late,j,86421,0.98
439,hard,j,86817,0.97
440,field,n,87243,0.96
441,else,r,87876,0.95
442,pass,v,86184,0.97
443,former,d,88930,0.94
444,sell,v,87865,0.95
445,major,j,87487,0.95
446,sometimes,r,84845,0.98
447,require,v,89280,0.93 A
448,along,i,84926,0.97
449,development,n,91995,0.90 A
450,themselves,p,85256,0.97
451,report,v,88138,0.93
452,role,n,88666,0.92 A
453,better,j,83895,0.98
454,economic,j,90392,0.91 A
455,effort,n,86473,0.95
456,up,i,85759,0.95
457,decide,v,84035,0.97
458,rate,n,87224,0.94
459,strong,j,83677,0.98
460,possible,j,85084,0.96
461,heart,n,84536,0.96
462,drug,n,86231,0.94
463,show,n,86828,0.94
464,leader,n,85438,0.95
465,light,n,87427,0.93 F
466,voice,n,89379,0.90 F
467,wife,n,83601,0.96
468,whole,j,83756,0.96
469,police,n,85880,0.93
470,mind,n,82808,0.96
471,finally,r,81951,0.97
472,pull,v,87243,0.91 F
473,return,v,81812,0.97
474,free,j,82090,0.97
475,military,j,85152,0.93
476,price,n,84443,0.94
477,report,n,83174,0.95
478,less,r,82930,0.95
479,according,i,83773,0.94
480,decision,n,82429,0.95
481,explain,v,80797,0.97
482,son,n,80895,0.97
483,hope,v,81385,0.96
484,even,c,79087,0.98
485,develop,v,84835,0.92 A
486,view,n,81338,0.96
487,relationship,n,84549,0.92 A
488,carry,v,79513,0.97
489,town,n,79821,0.97
490,road,n,80987,0.95
491,drive,v,80476,0.96
492,arm,n,84865,0.91 F
493,true,j,79299,0.97
494,federal,j,81826,0.94
495,break,v,79310,0.97
496,better,r,78334,0.98
497,difference,n,82911,0.92 A
498,thank,v,88574,0.86 S
499,receive,v,80250,0.95
500,value,n,82942,0.92 A
501,international,j,81610,0.93
502,building,n,78487,0.97
503,action,n,80009,0.95
504,full,j,77547,0.97
505,model,n,82973,0.91 A
506,join,v,80609,0.93 S
507,season,n,83743,0.89 N
508,society,n,81192,0.92 A
509,because,i,77116,0.97
510,tax,n,80713,0.92
511,director,n,79813,0.93 N
512,early,r,75605,0.98
513,position,n,77124,0.96
514,player,n,81358,0.91 N
515,agree,v,76753,0.96
516,especially,r,76304,0.96
517,record,n,77509,0.94
518,pick,v,77197,0.95
519,wear,v,77921,0.94 F
520,paper,n,75383,0.97
521,special,j,75298,0.97
522,space,n,75395,0.96
523,ground,n,74713,0.97
524,form,n,78493,0.92 A
525,support,v,76544,0.94
526,event,n,75559,0.95
527,official,n,79026,0.91 N
528,whose,d,74914,0.96
529,matter,n,73842,0.97
530,everyone,p,74534,0.96
531,center,n,74559,0.96
532,couple,n,74871,0.96
533,site,n,75932,0.94
534,end,v,73099,0.97
535,project,n,75446,0.94
536,hit,v,73999,0.95
537,base,v,75887,0.93 A
538,activity,n,77980,0.90 A
539,star,n,73695,0.95
540,table,n,75228,0.93 F
541,need,n,74877,0.93 A
542,court,n,74112,0.94
543,produce,v,74169,0.94
544,eat,v,73505,0.95
545,American,n,73063,0.95
546,teach,v,72668,0.95
547,oil,n,74386,0.93
548,half,d,70930,0.97
549,situation,n,72603,0.95
550,easy,j,71602,0.96
551,cost,n,73512,0.94
552,industry,n,73055,0.94
553,figure,n,74858,0.92 A
554,face,v,69493,0.98
555,street,n,71645,0.95
556,image,n,72216,0.94
557,itself,p,71093,0.96
558,phone,n,71599,0.95
559,either,r,69497,0.97
560,data,n,76594,0.88 A
561,cover,v,69387,0.97
562,quite,r,69966,0.96
563,picture,n,69229,0.97
564,clear,j,68662,0.98
565,practice,n,73745,0.91 A
566,piece,n,68901,0.97
567,land,n,69750,0.96
568,recent,j,70685,0.94
569,describe,v,71377,0.93 A
570,product,n,70883,0.94
571,doctor,n,69446,0.95
572,wall,n,71390,0.93 F
573,patient,n,72217,0.91 A
574,worker,n,69962,0.94
575,news,n,70051,0.94
576,test,n,69870,0.94
577,movie,n,69387,0.94
578,certain,j,67228,0.97
579,north,n,68046,0.96
580,love,n,67495,0.96
581,personal,j,67917,0.96
582,open,j,67218,0.97
583,support,n,69431,0.93 A
584,simply,r,66712,0.97
585,third,m,67037,0.97
586,technology,n,69565,0.93
587,catch,v,68214,0.94 F
588,step,n,66232,0.97
589,baby,n,67881,0.94
590,computer,n,67399,0.95
591,type,n,68481,0.93 A
592,attention,n,65271,0.97
593,draw,v,65198,0.97
594,film,n,66724,0.95
595,Republican,n,71611,0.88 S
596,tree,n,66630,0.94
597,source,n,66862,0.94 A
598,red,j,66217,0.94
599,nearly,r,64860,0.96
600,organization,n,67278,0.93 A
601,choose,v,64348,0.97
602,cause,v,64531,0.97
603,hair,n,69564,0.89 F
604,look,n,66194,0.94
605,point,v,62980,0.98
606,century,n,65667,0.94
607,evidence,n,65360,0.94
608,window,n,68303,0.90 F
609,difficult,j,63947,0.96
610,listen,v,64984,0.94
611,soon,r,63168,0.96
612,culture,n,67128,0.91 A
613,billion,m,65243,0.93
614,chance,n,62682,0.97
615,brother,n,63406,0.95
616,energy,n,64139,0.94
617,period,n,64534,0.93 A
618,course,n,64012,0.94 A
619,summer,n,62503,0.96
620,less,d,62154,0.96
621,realize,v,61732,0.97
622,hundred,m,61266,0.97
623,available,j,63187,0.94
624,plant,n,63476,0.93
625,likely,j,63002,0.94
626,opportunity,n,62422,0.95
627,term,n,62962,0.94
628,short,j,60451,0.98
629,letter,n,60369,0.98
630,condition,n,63489,0.93 A
631,choice,n,60487,0.97
632,place,v,60927,0.96
633,single,j,60072,0.97
634,rule,n,61062,0.95
635,daughter,n,60424,0.96
636,administration,n,62071,0.93
637,south,n,60630,0.96
638,husband,n,60126,0.96
639,Congress,n,62841,0.92 S
640,floor,n,62458,0.92 F
641,campaign,n,64172,0.90 S
642,material,n,62440,0.92 A
643,population,n,62999,0.91 A
644,well,i,61219,0.93 A
645,call,n,59543,0.96
646,economy,n,60990,0.93
647,medical,j,59424,0.96
648,hospital,n,58669,0.97
649,church,n,59466,0.96
650,close,v,60884,0.93 F
651,thousand,m,58307,0.97
652,risk,n,60432,0.94
653,current,j,61252,0.92
654,fire,n,59386,0.95
655,future,n,58020,0.97
656,wrong,j,58988,0.95
657,involve,v,59542,0.94 A
658,defense,n,59701,0.94
659,anyone,p,58274,0.96
660,increase,v,60442,0.93 A
661,security,n,58914,0.95
662,bank,n,58992,0.94
663,myself,p,59716,0.93 F
664,certainly,r,59739,0.93 S
665,west,n,58169,0.95
666,sport,n,59006,0.94
667,board,n,58436,0.95
668,seek,v,58495,0.94
669,per,i,59432,0.93
670,subject,n,61397,0.90 A
671,officer,n,57617,0.96
672,private,j,57248,0.96
673,rest,n,56714,0.97
674,behavior,n,62625,0.88 A
675,deal,v,57462,0.96
676,performance,n,59909,0.92 A
677,fight,v,56886,0.96
678,throw,v,57784,0.95
679,top,n,57743,0.95
680,quickly,r,56454,0.97
681,past,j,56588,0.96
682,goal,n,58728,0.93 A
683,second,n,56022,0.97
684,bed,n,60304,0.90 F
685,order,n,56483,0.96
686,author,n,58300,0.93
687,fill,v,56915,0.95
688,represent,v,58744,0.92 A
689,focus,v,57177,0.94
690,foreign,j,57540,0.94
691,drop,v,56448,0.95
692,plan,v,55829,0.96
693,blood,n,56351,0.95
694,upon,i,57033,0.94
695,agency,n,56954,0.94
696,push,v,56103,0.95
697,nature,n,57929,0.92 A
698,color,n,56978,0.94 M
699,no,r,54602,0.98
700,recently,r,55992,0.95
701,store,n,56147,0.95
702,reduce,v,57029,0.93
703,sound,n,56828,0.94 F
704,note,v,57025,0.93 A
705,fine,j,55174,0.96
706,before,r,55608,0.95
707,near,i,54869,0.96
708,movement,n,56201,0.94 A
709,page,n,55937,0.94 M
710,enter,v,54479,0.96
711,share,v,54010,0.97
712,than,i,55719,0.94 A
713,common,j,55940,0.93 A
714,poor,j,53820,0.97
715,other,p,54372,0.96
716,natural,j,55526,0.94
717,race,n,54838,0.95
718,concern,n,55203,0.94
719,series [PL],n,54549,0.95
720,significant,j,58947,0.88 A
721,similar,j,55901,0.92 A
722,hot,j,54601,0.95
723,language,n,55799,0.92 A
724,each,p,53663,0.96
725,usually,r,53477,0.96
726,response,n,56342,0.91 A
727,dead,j,55111,0.93 F
728,rise,v,53542,0.95
729,animal,n,53127,0.96
730,factor,n,57612,0.89 A
731,decade,n,53727,0.95
732,article,n,54871,0.93 A
733,shoot,v,53038,0.95
734,east,n,53010,0.95
735,save,v,52067,0.97
736,seven,m,52011,0.97
737,artist,n,54353,0.92 M
738,away,i,52005,0.96
739,scene,n,51248,0.97
740,stock,n,54305,0.91
741,career,n,52101,0.95
742,despite,i,51526,0.96
743,central,j,52501,0.94
744,eight,m,50871,0.97
745,thus,r,57039,0.87 A
746,treatment,n,53390,0.92 A
747,beyond,i,50742,0.97
748,happy,j,51669,0.95
749,exactly,r,52685,0.93 S
750,protect,v,50649,0.97
751,approach,n,53980,0.91 A
752,lie,v,51657,0.95
753,size,n,51868,0.95
754,dog,n,52347,0.94 F
755,fund,n,53859,0.91
756,serious,j,50285,0.97
757,occur,v,52768,0.93 A
758,media,n,51798,0.94
759,ready,j,50833,0.96
760,sign,n,50045,0.98
761,thought,n,51509,0.95
762,list,n,50678,0.96
763,individual,n,54738,0.89 A
764,simple,j,50583,0.96
765,quality,n,52224,0.93 A
766,pressure,n,50773,0.96
767,accept,v,49952,0.97
768,answer,n,49969,0.97
769,hard,r,50793,0.95
770,resource,n,53398,0.90 A
771,identify,v,53484,0.90 A
772,left,j,50479,0.95
773,meeting,n,49916,0.96
774,determine,v,52130,0.92 A
775,prepare,v,49208,0.98
776,disease,n,51211,0.94
777,whatever,d,50200,0.96
778,success,n,50541,0.95
779,argue,v,51013,0.94 A
780,cup,n,53633,0.89 M
781,particularly,r,50329,0.95
782,amount,n,49944,0.95
783,ability,n,51476,0.93 A
784,staff,n,50177,0.95
785,recognize,v,50042,0.95
786,indicate,v,53215,0.89 A
787,character,n,49530,0.96
788,growth,n,50904,0.93
789,loss,n,49759,0.95
790,degree,n,50612,0.94 A
791,wonder,v,50875,0.93 F
792,attack,n,50898,0.93
793,herself,p,52915,0.89 F
794,region,n,50914,0.93 A
795,television,n,49673,0.95
796,box,n,49667,0.95
797,TV,n,49438,0.95
798,training,n,49997,0.93 A
799,pretty,r,50385,0.93 S
800,trade,n,49696,0.94
801,deal,n,48975,0.95
802,election,n,51322,0.91 S
803,everybody,p,51147,0.91 S
804,physical,j,51451,0.90 A
805,lay,v,49358,0.94 F
806,general,j,49657,0.93 A
807,feeling,n,47349,0.98
808,standard,n,49876,0.93 A
809,bill,n,49011,0.94
810,message,n,47533,0.97
811,fail,v,47503,0.97
812,outside,i,46628,0.98
813,arrive,v,47435,0.97
814,analysis,n,53840,0.85 A
815,benefit,n,48594,0.94
816,name,v,47375,0.97
817,sex,n,47827,0.95
818,forward,r,47877,0.95
819,lawyer,n,47853,0.95
820,present,v,49659,0.92 A
821,section,n,49764,0.91 A
822,environmental,j,51192,0.88 A
823,glass,n,49686,0.91 F
824,answer,v,47661,0.95
825,skill,n,50431,0.90 A
826,sister,n,48183,0.94 F
827,PM,r,54765,0.82 N
828,professor,n,46575,0.97
829,operation,n,47276,0.95
830,financial,j,47803,0.94
831,crime,n,48010,0.93
832,stage,n,46346,0.97
833,ok,r,54697,0.82 S
834,compare,v,48094,0.93 A
835,authority,n,47309,0.94
836,miss,v,46525,0.96
837,design,n,48605,0.92
838,sort,n,47086,0.95
839,one,n,45596,0.98
840,act,v,45648,0.98
841,ten,m,46827,0.95
842,knowledge,n,50335,0.88 A
843,gun,n,47305,0.94
844,station,n,46299,0.96
845,blue,j,47622,0.93 F
846,state,v,47977,0.93 A
847,strategy,n,49126,0.90 A
848,little,d,45469,0.97
849,clearly,r,45912,0.96
850,discuss,v,46852,0.94
851,indeed,r,46184,0.95
852,force,v,44931,0.97
853,truth,n,45155,0.97
854,song,n,45352,0.96
855,example,n,47134,0.93 A
856,democratic,j,47299,0.92
857,check,v,45760,0.95
858,environment,n,47807,0.91 A
859,leg,n,47477,0.91 F
860,dark,j,47565,0.91 F
861,public,n,45684,0.95
862,various,j,46777,0.92 A
863,rather,r,44934,0.96
864,laugh,v,48567,0.89 F
865,guess,v,48046,0.90 S
866,executive,n,47338,0.91 N
867,set,n,45121,0.96
868,study,v,44897,0.96
869,prove,v,44304,0.97
870,hang,v,46632,0.92 F
871,entire,j,43997,0.98
872,rock,n,45225,0.95
873,design,v,45946,0.94
874,enough,d,44378,0.97
875,forget,v,45571,0.94 F
876,since,i,45591,0.94
877,claim,v,44259,0.97
878,note,n,44720,0.96
879,remove,v,44683,0.96
880,manager,n,46187,0.93 N
881,help,n,43721,0.98
882,close,j,43568,0.98
883,sound,v,45311,0.94
884,enjoy,v,44020,0.97
885,network,n,45122,0.94
886,legal,j,44820,0.95
887,religious,j,46425,0.91 A
888,cold,j,44649,0.95
889,form,v,44646,0.95
890,final,j,43589,0.97
891,main,j,43707,0.97
892,science,n,45726,0.92 A
893,green,j,44673,0.94
894,memory,n,43531,0.97
895,card,n,43605,0.96
896,above,i,44130,0.95
897,seat,n,44404,0.95
898,cell,n,44831,0.94
899,establish,v,45921,0.91 A
900,nice,j,44792,0.93
901,trial,n,44489,0.94
902,expert,n,43898,0.95
903,that,r,43359,0.96
904,spring,n,44085,0.95
905,firm,n,44704,0.93
906,Democrat,n,46905,0.88 S
907,radio,n,43156,0.96
908,visit,v,42941,0.96
909,management,n,45112,0.92 A
910,care,v,42978,0.96
911,avoid,v,42890,0.96
912,imagine,v,43487,0.95
913,tonight,r,47549,0.87 S
914,huge,j,42582,0.96
915,ball,n,43512,0.94
916,no,u,44951,0.91 S
917,close,r,42826,0.95
918,finish,v,43143,0.95
919,yourself,p,43401,0.94
920,talk,n,43267,0.94
921,theory,n,45553,0.90 A
922,impact,n,43782,0.93 A
923,respond,v,42139,0.96
924,statement,n,42941,0.94
925,maintain,v,43493,0.93 A
926,charge,n,42353,0.95
927,popular,j,42399,0.95
928,traditional,j,43681,0.92 A
929,onto,i,43538,0.92 F
930,reveal,v,42605,0.94
931,direction,n,41280,0.97
932,weapon,n,43158,0.93
933,employee,n,42824,0.93
934,cultural,j,45673,0.87 A
935,contain,v,42542,0.94
936,peace,n,42273,0.94
937,head,v,41658,0.95
938,control,v,41771,0.95
939,base,n,41154,0.96
940,pain,n,41350,0.96
941,apply,v,42391,0.93 A
942,play,n,41662,0.95
943,measure,n,43938,0.90 A
944,wide,j,41233,0.96
945,shake,v,45160,0.87 F
946,fly,v,41373,0.95
947,interview,n,41594,0.95
948,manage,v,40536,0.97
949,chair,n,43256,0.91 F
950,fish,n,41488,0.95
951,particular,j,42291,0.93 A
952,camera,n,41218,0.95
953,structure,n,43638,0.90 A
954,politics,n,41758,0.94
955,perform,v,41667,0.94 A
956,bit,n,41915,0.93 S
957,weight,n,41919,0.93 M
958,suddenly,r,43382,0.90 F
959,discover,v,40489,0.97
960,candidate,n,43251,0.90
961,top,j,41484,0.94
962,production,n,42052,0.93 A
963,treat,v,40264,0.97
964,trip,n,40423,0.96
965,evening,n,40881,0.95
966,affect,v,41496,0.93 A
967,inside,i,40856,0.95
968,conference,n,40643,0.95
969,unit,n,41087,0.94
970,best,r,39959,0.97
971,style,n,40889,0.94
972,adult,n,40705,0.95
973,worry,v,40210,0.96
974,range,n,41326,0.93 A
975,mention,v,39815,0.97
976,rather,i,41558,0.93 A
977,far,j,39967,0.96
978,deep,j,40126,0.96
979,past,n,39559,0.97
980,edge,n,40960,0.94
981,individual,j,42325,0.90 A
982,specific,j,42397,0.90 A
983,writer,n,39666,0.96
984,trouble,n,39659,0.96
985,necessary,j,40776,0.93 A
986,throughout,i,40170,0.95
987,challenge,n,40380,0.94
988,fear,n,38857,0.98
989,shoulder,n,42843,0.89 F
990,institution,n,42153,0.90 A
991,middle,j,40402,0.94
